date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled
2020-01-03,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.731887355272,97.53003856363921
2020-01-04,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.73335137401607,97.53003856363921
2020-01-05,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.73481539276013,97.53003856363921
2020-01-06,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.7362794115042,97.53003856363921
2020-01-07,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.73774343024827,97.53003856363921
2020-01-08,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.73920744899235,97.53003856363921
2020-01-09,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.7406714677364,97.53003856363921
2020-01-10,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.74213548648048,97.53003856363921
2020-01-11,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.74359950522455,97.53003856363921
2020-01-12,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.74506352396862,97.53003856363921
2020-01-13,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.74652754271268,97.53003856363921
2020-01-14,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.74799156145676,97.53003856363921
2020-01-15,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.74945558020083,97.53003856363921
2020-01-16,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75091959894489,97.53003856363921
2020-01-17,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75238361768896,97.53003856363921
2020-01-18,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75384763643304,97.53003856363921
2020-01-19,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75531165517711,97.53003856363921
2020-01-20,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75677567392117,97.53003856363921
2020-01-21,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75823969266524,97.53003856363921
2020-01-22,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.75970371140932,97.53003856363921
2020-01-23,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.76116773015337,97.53003856363921
2020-01-24,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.76263174889745,97.53003856363921
2020-01-25,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.76409576764152,97.53003856363921
2020-01-26,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.7655597863856,97.53003856363921
2020-01-27,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.76702380512965,97.53003856363921
2020-01-28,0.0,1.0,1.0,112.0,215313504.0,1962.0,100.76848782387373,97.53003856363921
2020-01-29,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.7699518426178,97.9265946002842
2020-01-30,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.77141586136187,97.9265946002842
2020-01-31,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.77287988010593,97.9265946002842
2020-02-01,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.77434389885,97.9265946002842
2020-02-02,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.54244353261744,97.9265946002842
2020-02-03,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.31054316638486,97.9265946002842
2020-02-04,5.56,1.0,1.0,112.0,215313504.0,1962.0,100.0786428001523,97.9265946002842
2020-02-05,5.56,1.0,1.0,112.0,215313504.0,1962.0,99.84674243391972,97.9265946002842
2020-02-06,5.56,1.0,1.0,112.0,215313504.0,1962.0,99.61484206768715,97.9265946002842
2020-02-07,5.56,1.0,1.0,112.0,215313504.0,1962.0,99.38294170145457,97.9265946002842
