stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
2.78,15.0,1.0,5.0,38454328.0,1.0,93.8514038043423
2.78,15.0,1.0,5.0,38454328.0,1.0,
2.78,24.0,1.0,5.0,38454328.0,1.0,
2.78,33.0,1.0,5.0,38454328.0,1.0,
2.78,33.0,1.0,5.0,38454328.0,1.0,
2.78,45.0,1.0,5.0,38454328.0,1.0,
2.78,45.0,1.0,5.0,38454328.0,1.0,
2.78,51.0,1.0,5.0,38454328.0,1.0,
2.78,57.0,1.0,5.0,38454328.0,1.0,
2.78,62.0,1.0,5.0,38454328.0,1.0,
13.89,77.0,1.0,5.0,38454328.0,1.0,
22.22,103.0,1.0,5.0,38454328.0,1.0,
22.22,103.0,1.0,5.0,38454328.0,1.0,
24.07,138.0,1.0,5.0,38454328.0,1.0,
24.07,176.0,1.0,5.0,38454328.0,1.0,
43.52,193.0,1.0,5.0,38454328.0,1.0,
43.52,249.0,1.0,5.0,38454328.0,1.0,
62.96,324.0,4.0,5.0,38454328.0,1.0,
62.96,424.0,7.0,5.0,38454328.0,1.0,
73.15,569.0,8.0,5.0,38454328.0,1.0,
73.15,846.0,10.0,5.0,38454328.0,1.0,
73.15,971.0,11.0,5.0,38454328.0,1.0,
74.54,1302.0,15.0,5.0,38454328.0,1.0,
74.54,1430.0,15.0,5.0,38454328.0,1.0,
74.54,1646.0,18.0,5.0,38454328.0,1.0,
74.54,1959.0,19.0,5.0,38454328.0,1.0,
74.54,3385.0,22.0,5.0,38454328.0,1.0,
74.54,4018.0,24.0,5.0,38454328.0,1.0,
74.54,4675.0,35.0,5.0,38454328.0,1.0,
74.54,5386.0,41.0,5.0,38454328.0,1.0,
74.54,6255.0,42.0,5.0,38454328.0,1.0,
76.39,7424.0,56.0,5.0,38454328.0,1.0,90.0442237688893
76.39,8536.0,63.0,5.0,38454328.0,1.0,
76.39,9595.0,72.0,5.0,38454328.0,1.0,
74.54,11268.0,138.0,5.0,38454328.0,1.0,
74.54,12519.0,187.0,5.0,38454328.0,1.0,
74.54,13882.0,231.0,5.0,38454328.0,1.0,
74.54,15496.0,280.0,5.0,38454328.0,1.0,
74.54,16653.0,323.0,5.0,38454328.0,1.0,
74.54,17883.0,379.0,5.0,38454328.0,1.0,
74.54,19274.0,434.0,5.0,38454328.0,1.0,
74.54,20748.0,508.0,5.0,38454328.0,1.0,
74.54,22133.0,568.0,5.0,38454328.0,1.0,
74.54,23301.0,652.0,5.0,38454328.0,1.0,
74.54,24365.0,716.0,5.0,38454328.0,1.0,
74.54,25663.0,779.0,5.0,38454328.0,1.0,
74.54,27046.0,902.0,5.0,38454328.0,1.0,
