stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
0.0,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
5.56,1.0,1.0,2677971.0,67508936.0,391399.0,
8.33,1.0,1.0,2677971.0,67508936.0,391399.0,
8.33,1.0,1.0,2677971.0,67508936.0,391399.0,100.572446561882
11.11,1.0,1.0,2677971.0,67508936.0,391399.0,
11.11,1.0,1.0,2677971.0,67508936.0,391399.0,
11.11,2.0,2.0,2677971.0,67508936.0,391399.0,
11.11,20.0,2.0,2677971.0,67508936.0,391399.0,
11.11,20.0,2.0,2677971.0,67508936.0,391399.0,
11.11,21.0,2.0,2677971.0,67508936.0,391399.0,
11.11,21.0,2.0,2677971.0,67508936.0,391399.0,
11.11,21.0,2.0,2677971.0,67508936.0,391399.0,
11.11,24.0,2.0,2677971.0,67508936.0,391399.0,
11.11,25.0,2.0,2677971.0,67508936.0,391399.0,
11.11,26.0,2.0,2677971.0,67508936.0,391399.0,
11.11,30.0,2.0,2677971.0,67508936.0,391399.0,
11.11,31.0,2.0,2677971.0,67508936.0,391399.0,
11.11,32.0,2.0,2677971.0,67508936.0,391399.0,
