,date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled,total_cases_worldometer,total_recovered_worldometer,N,S,I,R,S_modelled,I_modelled,R_modelled,r_eff_modelled,r_eff_actual,S_modelled_with_lockdown,I_modelled_with_lockdown,R_modelled_with_lockdown,r_eff_modelled_with_lockdown,r_eff_actual_with_lockdown,S_modelled_with_lockdown_with_vaccination,I_modelled_with_lockdown_with_vaccination,R_modelled_with_lockdown_with_vaccination,r_eff_modelled_with_lockdown_with_vaccination,r_eff_actual_with_lockdown_with_vaccination,nu_varying_with_time,S_modelled_with_lockdown_with_vaccination_time_varying_nu,I_modelled_with_lockdown_with_vaccination_time_varying_nu,R_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_actual_with_lockdown_with_vaccination_time_varying_nu,gdp_min_max_normalized,gdp_normalized_modelled_min_max_normalized
0,2020-05-01,96.3,35043.0,1147.0,0.0,1417173120.0,7668.0,83.9054327862878,88.26440956769662,35043,9068.0,1417173120.0,1417121341.0,25975.0,16736.0,1417121341.0,25976.0,16736.0,1.7620174108982267,1.7620174108982267,1417121341.0,25975.0,16736.0,0.16466711688941205,0.16466711688941205,1417121341.0,25975.0,16736.0,0.1645278946300493,0.1645278946300493,0.0,1417121341.0,25975.0,16736.0,0.15039398705599213,0.15039398705599213,-0.15346108528772026,0.1346416955433275
1,2020-05-02,96.3,37336.0,1218.0,0.0,1417173120.0,7668.0,84.04130698838114,88.26440956769662,37257,10007.0,1417173120.0,1417118188.0,27250.0,17675.0,1417120237.8377748,26453.082909913923,17362.079315824798,1.7620160392506536,1.7620134905275882,1417120969.470581,24090.283759241902,18992.245659858392,0.16466707371831832,0.16466675051611393,1417079804.3779523,24053.905758391233,60193.71628880931,0.1645230722250951,0.16452752856651137,2.746582031076535e-09,1417120917.2319405,23581.04877563946,19553.71928525345,0.15039394208301332,0.15039365243945124,-0.14448059802446,0.1346416955433275
2,2020-05-03,96.3,39980.0,1301.0,0.0,1417173120.0,7668.0,84.17718119047447,88.26440956769662,42505,11775.0,1417173120.0,1417111172.0,30730.0,19443.0,1417119114.4151666,26938.927295958463,17999.657537704643,1.7620146424117678,1.762004766987975,1417120624.8989592,22342.320084957577,21084.78095614324,0.16466703367967525,0.16466593526871157,1417038296.951757,22274.884159968802,103480.16408210312,0.16451825320978156,0.16452671400838192,5.49316406215307e-09,1417120528.6279535,21407.732528753724,22115.639518988464,0.15039390084187096,0.15039290785662499,-0.13550011076119972,0.1346416955433275
3,2020-05-04,81.94,42533.0,1373.0,0.0,1417173120.0,7668.0,84.3130553925678,94.90443225742592,42670,11782.0,1417173120.0,1417111000.0,30888.0,19450.0,1417117970.360361,27433.693928846238,18648.94571035644,1.7620132199192626,1.7620045531269697,1417120305.3289077,20721.18650978075,23025.484582993922,0.8037529615199663,0.803747683784802,1416996816.6495054,20627.429634663262,146607.92085943336,0.8030034266012673,0.8030681336074021,8.239746093229606e-09,1417120171.5873132,19434.718212966505,24445.69447426209,0.7340846391580584,0.7340798881697524,-0.12651962349793944,0.5735082226263155
4,2020-05-05,81.94,46433.0,1568.0,0.0,1417173120.0,7668.0,84.44892959466115,94.90443225742592,49400,14142.0,1417173120.0,1417101910.0,35258.0,21810.0,1417116805.2945924,27937.54658387874,19310.15882423172,1.7620117713021897,1.761993250821513,1417118816.7055736,20357.717882778397,24877.5765442666,0.8037521172123878,0.8037425281784694,1416954152.3578863,20257.055955734162,189642.58615767694,0.8029792490082333,0.8030629823600162,1.098632812430614e-08,1417118560.5797384,18855.374239458924,26636.046022822564,0.7340838046375019,0.7340751794446184,-0.11753913623467821,0.5735082226263155
5,2020-05-06,81.94,49391.0,1694.0,0.0,1417173120.0,7668.0,84.58480379675449,94.90443225742592,52987,15331.0,1417173120.0,1417097134.0,37656.0,22999.0,1417115618.8320708,28450.652072485198,19983.515857005572,1.762010296080866,1.761987312448481,1417117354.1953366,20000.62359205458,26697.18107184263,0.8037512877154638,0.8037398193582445,1416911516.4569697,19893.2882636613,232642.25476631545,0.8029550875040364,0.8030602758300364,1.3732910155382674e-08,1417116993.3566554,18293.298365359413,28765.344979987087,0.7340829927978185,0.7340727054213796,-0.10855864897141793,0.5735082226263155
6,2020-05-07,81.94,52952.0,1783.0,0.0,1417173120.0,7668.0,84.72067799884782,94.90443225742592,53045,15331.0,1417173120.0,1417097076.0,37714.0,22999.0,1417114410.5797527,28973.180342479875,20669.23990531907,1.7620087937665898,1.7619872403325605,1417115917.340486,19649.791628319294,28484.867886277512,0.8037504727695929,0.8037397864621865,1416868908.4607892,19536.00956224299,275607.5296482735,0.8029309418132828,0.8030602429617912,1.6479492186459212e-08,1417115468.4984415,17747.976562270054,30835.524998123357,0.7340822029036274,0.7340726753767088,-0.09957816170815766,0.5735082226263155
7,2020-05-08,81.94,56342.0,1886.0,0.0,1417173120.0,7668.0,84.85655220094115,94.90443225742592,56516,16867.0,1417173120.0,1417092069.0,39649.0,24535.0,1417113180.1376004,29505.304364441443,21367.558035632665,1.7620072638619637,1.761981014739225,1417114505.6910517,19305.11222025147,30241.196728581974,0.803749672119564,0.8037369466249029,1416826327.8920004,19185.10491139844,318539.00308772863,0.8029068116654645,0.8030574055255248,1.9226074217535746e-08,1417113984.6248786,17218.90900674627,32848.466117263175,0.7340814342399594,0.7340700816927983,-0.09059767444489737,0.5735082226263155
8,2020-05-09,81.94,59662.0,1981.0,0.0,1417173120.0,7668.0,84.99242640303449,94.90443225742592,62808,19301.0,1417173120.0,1417083343.0,43507.0,26969.0,1417111927.0981588,30047.200315696482,22078.701525911125,1.7620057058603669,1.761970165023338,1417113118.8049517,18966.477518468888,31966.717530442773,0.8037488855146399,0.803731997469693,1416783774.281731,18840.461391495453,361437.25687704503,0.802882696794874,0.8030524605547118,2.197265624861228e-08,1417112540.398822,16705.611810460352,34805.989369988,0.7340806861141584,0.7340655615238743,-0.08161718718163709,0.5735082226263155
9,2020-05-10,81.94,62939.0,2109.0,0.0,1417173120.0,7668.0,85.12830060512782,94.90443225742592,62939,19358.0,1417173120.0,1417083155.0,43581.0,27026.0,1417110651.046476,30599.047614238803,22802.90591025008,1.7620041192458562,1.7619699312682853,1417111756.2478576,18633.781563173197,33661.970579661946,0.8037481127084811,0.8037318908410912,1416741247.1694295,18501.968068053626,404302.8625017045,0.8028585969405199,0.803052354016262,2.4719238279688814e-08,1417111134.5222783,16207.614431483853,36709.86329210488,0.7340799578538485,0.7340654641376999,-0.07263669991837682,0.5735082226263155
10,2020-05-11,81.94,67152.0,2206.0,0.0,1417173120.0,7668.0,85.26417480722115,94.90443225742592,70768,22549.0,1417173120.0,1417072135.0,48219.0,30217.0,1417109351.5599196,31161.028997869544,23540.41108291166,1.7620025034929414,1.7619562292434086,1417110417.5930572,18306.92025032611,35327.48669309242,0.8037473534590679,0.8037256405900697,1416698746.1027272,18169.51595867759,447136.38131343294,0.8028345118460474,0.803046109049684,2.746582031076535e-08,1417109765.7379963,15724.461169601564,38561.80083590256,0.7340792488077592,0.7340597556502436,-0.06365621265511653,0.5735082226263155
11,2020-05-12,81.94,70756.0,2293.0,0.0,1417173120.0,7668.0,85.40004900931449,94.90443225742592,74243,24420.0,1417173120.0,1417066789.0,49823.0,32088.0,1417108028.208251,31733.330492593283,24291.46125677616,1.7620008580666726,1.7619495821449518,1417109102.4213183,17985.7912990782,36963.78738316718,0.8037466075286228,0.8037226084809989,1416656270.6372886,17842.99799828643,489938.3647123515,0.8028104412596545,0.8030430795041915,3.0212402341841886e-08,1417108432.819938,15255.70962237171,40363.470441534366,0.7340785583407886,0.7340569863604123,-0.05467572539185625,0.5735082226263155
12,2020-05-13,81.94,74281.0,2415.0,0.0,1417173120.0,7668.0,85.53592321140783,94.90443225742592,78055,26400.0,1417173120.0,1417060997.0,51655.0,34068.0,1417106680.5534148,32316.14150308825,25056.305082271432,1.761999182422381,1.7619423804999348,1417107810.3207605,17670.294220024098,38571.38502018409,0.8037458746835383,0.8037193234125853,1416613820.3366597,17522.309002918562,532709.3543366755,0.8027863849340051,0.8030397972132279,3.2958984372918424e-08,1417107134.5867121,14800.93053128794,42116.48275834638,0.7340778858409623,0.7340539860374226,-0.04569523812859503,0.5735082226263155
13,2020-05-14,81.94,78003.0,2549.0,0.0,1417173120.0,7668.0,85.67179741350117,94.90443225742592,81990,27969.0,1417173120.0,1417055493.0,54021.0,35637.0,1417105308.1491318,32909.654989097966,25835.195879287927,1.7619974760051735,1.761935536947764,1417106540.8867245,17360.330283960167,40150.7829920155,0.8037451546943024,0.8037162016901152,1416571394.7721283,17207.345637019338,575449.8822339601,0.8027623426261511,0.8030366781301022,3.5705566403994954e-08,1417105869.8862867,14359.707526357095,43822.40618867441,0.7340772307115145,0.7340511349017638,-0.03671475086533475,0.5735082226263155
14,2020-05-15,81.94,81970.0,2649.0,0.0,1417173120.0,7668.0,85.8076716155945,94.90443225742592,82103,27977.0,1417173120.0,1417055372.0,54126.0,35645.0,1417103910.5409007,33514.067464109095,26628.391635406715,1.7619957382499332,1.7619353864990335,1417105293.7216563,17055.802493141673,41702.47585099555,0.8037444473354329,0.803716133062132,1416528993.5225847,16898.00638036303,618160.4710342842,0.8027383140974518,0.8030366095601424,3.845214843507149e-08,1417104637.6038349,13931.636554928818,45482.75961206783,0.734076592374952,0.7340510722223644,-0.027734263602074472,0.5735082226263155
15,2020-05-16,81.94,85940.0,2752.0,0.0,1417173120.0,7668.0,85.94354581768783,94.90443225742592,90615,34220.0,1417173120.0,1417040617.0,56395.0,41888.0,1417102487.2658255,34129.579070386855,27436.155104549518,1.761993968581105,1.761917040457558,1417104068.4349754,16756.615549671544,43226.94947552122,0.8037437523854031,0.8037077644184095,1416486616.1743915,16594.191497463667,660841.6341102694,0.8027142991135016,0.8030282479919157,4.119873046614802e-08,1417103436.6567528,13516.325648289552,47099.017600641324,0.7340759702704734,0.7340434289617094,-0.018753776338814192,0.5735082226263155
16,2020-05-17,81.94,90927.0,2872.0,0.0,1417173120.0,7668.0,86.07942001978117,94.90443225742592,95648,36794.0,1417173120.0,1417033010.0,58854.0,44462.0,1417101037.8526828,34756.39354942037,28258.75376821498,1.7619921664127802,1.7619075820815835,1417102864.6429353,16462.67582151756,44724.68124381778,0.8037430696265621,0.8037034499302498,1416444262.321309,16295.803019553008,703493.8756706604,0.8026902974440868,0.8030239371515564,4.079182942448136e-08,1417102266.0003486,13113.394748044651,48672.6049051561,0.7340753638569164,0.7340394884477276,-0.009773289075553911,0.5735082226263155
17,2020-05-18,81.94,96169.0,3029.0,0.0,1417173120.0,7668.0,86.2152942218745,94.90443225742592,95698,36795.0,1417173120.0,1417032959.0,58903.0,44463.0,1417099561.8215702,35394.71839436939,29096.460035827975,1.7619903311482588,1.7619075186693085,1417101681.9685056,16173.891313711942,46196.14018112085,0.8037423988450683,0.8037034210044056,1416401931.5642967,16002.744698058346,746117.6910045525,0.8026663088630737,0.8030239082501684,4.0384928382814685e-08,1417101129.0744545,12722.474387522663,50200.451160142635,0.7340747749161538,0.7340394620291377,-0.0007928018122936312,0.5735082226263155
18,2020-05-19,81.94,101139.0,3163.0,0.0,1417173120.0,7668.0,86.35116842396783,94.90443225742592,101261,39233.0,1417173120.0,1417024958.0,62028.0,46901.0,1417098058.6837506,36044.76491699371,29949.551332739593,1.7619884621798563,1.7618975704024267,1417100520.04125,15890.17163860337,47641.78711171824,0.8037417398308199,0.8036988830499208,1416359623.511399,15714.92197752301,788713.5666228351,0.8026423331483434,0.8030193741324197,3.997802734114802e-08,1417100024.8963258,12343.206855559542,51683.896821364404,0.7340742029391122,0.734035317418599,0.00818768545096665,0.5735082226263155
19,2020-05-20,81.94,106750.0,3303.0,0.0,1417173120.0,7668.0,86.48704262606117,94.90443225742592,106475,42309.0,1417173120.0,1417016668.0,64166.0,49977.0,1417096527.9415092,36706.74830956652,30818.31018172789,1.7619865588887245,1.7618872627993203,1417099378.4972572,15611.427999162936,49062.074744071666,0.8037410923774164,0.8036941811823193,1416317337.7776313,15432.24196854526,831281.9803995305,0.8026183700817275,0.8030146762401391,3.9571126299481354e-08,1417098952.5051374,11975.244849333993,53124.25001606276,0.7340736474280735,0.7340310231027176,0.01716817271422693,0.5735082226263155
20,2020-05-21,81.94,112359.0,3435.0,0.0,1417173120.0,7668.0,86.62291682815452,94.90443225742592,118226,48553.0,1417173120.0,1416998673.0,69673.0,56221.0,1417094969.0880082,37380.88770724542,31703.024284948733,1.7619846206446725,1.7618648882133257,1417098256.9790199,15337.573159598738,50457.447820994996,0.8037404562820889,0.8036839748967357,1416275073.9848607,15154.613419574269,873823.401719166,0.8025944194489405,0.8030044785837352,3.916422525781468e-08,1417097910.975578,11618.251382690793,54522.77304192128,0.7340731079037155,0.7340217014845891,0.026148659977488147,0.5735082226263155
21,2020-05-22,81.94,118447.0,3583.0,0.0,1417173120.0,7668.0,86.75879103024785,94.90443225742592,118501,48553.0,1417173120.0,1416998398.0,69948.0,56221.0,1417093381.6071296,38067.406256665585,32603.986614125686,1.7619826468059712,1.7618645462843927,1417097155.1352794,15068.52140742499,51828.34331363642,0.803739831345613,0.8036838189240469,1416232831.7616587,14881.946682280852,916338.2916584627,0.802570481039496,0.8030043227429177,3.8757324216148016e-08,1417096899.3994493,11271.899591427113,55880.70096220076,0.734072583895581,0.7340215590314085,0.03512914724074843,0.5735082226263155
22,2020-05-23,81.94,125101.0,3720.0,0.0,1417173120.0,7668.0,86.89466523234118,94.90443225742592,131423,54385.0,1417173120.0,1416979644.0,77038.0,62053.0,1417091764.9732406,38766.53121671053,33521.495543148136,1.7619806367190598,1.761841227974543,1417096072.6209443,14804.188533688839,53175.190522376965,0.803739217372262,0.803673182153842,1416190610.743176,14614.153681888793,958827.1031415798,0.8025465546466363,0.8029936949658574,3.835042317448135e-08,1417095916.8999915,10935.872150228553,57199.22786089494,0.7340720749494983,0.7340118442425015,0.04410963450400871,0.5735082226263155
23,2020-05-24,81.94,131868.0,3867.0,0.0,1417173120.0,7668.0,87.03053943443452,94.90443225742592,131920,54441.0,1417173120.0,1416979091.0,77479.0,62109.0,1417090118.6510715,39478.494011400224,34455.85491757448,1.761978589718396,1.7618405403865434,1417095009.0969877,14544.491807933431,54498.41120471023,0.8037386141697488,0.8036728685069442,1416148410.57108,14351.14790212012,1001290.2810173992,0.8025226400672962,0.8029933815841407,3.794352213281468e-08,1417094962.6331203,10609.86217145724,58479.50471108485,0.7340715806282221,0.7340115577821056,0.05309012176726899,0.5735082226263155
24,2020-05-25,81.94,138845.0,4021.0,0.0,1417173120.0,7668.0,87.16641363652785,94.90443225742592,144941,60706.0,1417173120.0,1416959805.0,84235.0,68374.0,1417088442.095558,40203.53029818705,35407.374144436835,1.7619765051262584,1.7618165605996305,1417093964.230298,14289.349942043844,55798.41976026371,0.8037380215491412,0.8036619300004831,1416106230.8934202,14092.844353462146,1043728.2622258421,0.802498737102028,0.8029824523259352,3.753662109114801e-08,1417094035.7690969,10293.569676035188,59722.66123002955,0.7340711005019379,0.7340015674110456,0.06207060903052927,0.5735082226263155
25,2020-05-26,81.94,145380.0,4167.0,0.0,1417173120.0,7668.0,87.30228783862118,94.90443225742592,145456,60706.0,1417173120.0,1416959290.0,84750.0,68374.0,1417086734.7516015,40941.880071121224,36376.36832800288,1.7619743822524505,1.7618159202599926,1417092937.69359,14038.683068451486,57075.623342034676,0.803737439324812,0.803661637906175,1416064071.3645203,13839.159547522942,1086141.4759317213,0.8024748455549385,0.8029821604785862,3.712972004948135e-08,1417093135.5105085,9986.70569732189,60929.78379634487,0.7340706341575769,0.7340013006350892,0.07105109629378956,0.5735082226263155
26,2020-05-27,81.94,151767.0,4337.0,0.0,1417173120.0,7668.0,87.43816204071452,94.90443225742592,158086,67749.0,1417173120.0,1416939617.0,90337.0,75417.0,1417084996.0539112,41693.78772945515,37363.158359983805,1.7619722203941015,1.7617914592858177,1417091929.1653452,13792.412725779464,58330.42192939193,0.8037368673144043,0.8036504799036028,1416021931.6448689,13590.01147122034,1128530.3436594955,0.802450965233629,0.8029710119098485,3.6722819007814676e-08,1417092261.0796678,9688.989239535627,62101.93109523494,0.7340701811922878,0.7339911097935531,0.08003158355704983,0.5735082226263155
