stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
0.0,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
2.78,3.0,2.0,7191.0,59037472.0,9.0,
8.33,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,99.7384391674937
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
19.44,3.0,2.0,7191.0,59037472.0,9.0,
27.78,3.0,2.0,7191.0,59037472.0,9.0,
37.04,17.0,2.0,7191.0,59037472.0,9.0,
64.35,79.0,2.0,7191.0,59037472.0,9.0,
64.35,132.0,3.0,7191.0,59037472.0,9.0,
64.35,229.0,7.0,7191.0,59037472.0,9.0,
64.35,322.0,10.0,7191.0,59037472.0,9.0,
64.35,400.0,12.0,7191.0,59037472.0,9.0,
64.35,650.0,17.0,7191.0,59037472.0,9.0,
64.35,888.0,21.0,7191.0,59037472.0,9.0,
64.35,1128.0,29.0,7191.0,59037472.0,9.0,85.6418469803545
69.91,1694.0,34.0,7191.0,59037472.0,9.0,
69.91,2036.0,52.0,7191.0,59037472.0,9.0,
72.69,2502.0,79.0,7191.0,59037472.0,9.0,
74.54,3089.0,107.0,7191.0,59037472.0,9.0,
74.54,3858.0,148.0,7191.0,59037472.0,9.0,
74.54,4636.0,197.0,7191.0,59037472.0,9.0,
74.54,5883.0,233.0,7191.0,59037472.0,9.0,
74.54,7375.0,366.0,7191.0,59037472.0,9.0,
79.63,9172.0,463.0,7191.0,59037472.0,9.0,
82.41,10149.0,631.0,7191.0,59037472.0,9.0,
82.41,12462.0,827.0,7191.0,59037472.0,9.0,
82.41,15113.0,1016.0,7191.0,59037472.0,9.0,
82.41,17660.0,1266.0,7191.0,59037472.0,9.0,
82.41,21157.0,1441.0,7191.0,59037472.0,9.0,
82.41,24747.0,1809.0,7191.0,59037472.0,9.0,
82.41,27980.0,2158.0,7191.0,59037472.0,9.0,
82.41,31506.0,2503.0,7191.0,59037472.0,9.0,
82.41,35713.0,2978.0,7191.0,59037472.0,9.0,
85.19,41035.0,3405.0,7191.0,59037472.0,9.0,
85.19,47021.0,4032.0,7191.0,59037472.0,9.0,
85.19,53578.0,4825.0,7191.0,59037472.0,9.0,
85.19,59138.0,5476.0,7191.0,59037472.0,9.0,
85.19,63927.0,6077.0,7191.0,59037472.0,9.0,
85.19,69176.0,6820.0,7191.0,59037472.0,9.0,
85.19,74386.0,7503.0,7191.0,59037472.0,9.0,
85.19,80539.0,8165.0,7191.0,59037472.0,9.0,
85.19,86498.0,9134.0,7191.0,59037472.0,9.0,
85.19,92472.0,10023.0,7191.0,59037472.0,9.0,
85.19,97689.0,10779.0,7191.0,59037472.0,9.0,
85.19,101739.0,11591.0,7191.0,59037472.0,9.0,
85.19,105792.0,12428.0,7191.0,59037472.0,9.0,85.9091865179014
85.19,110574.0,13155.0,7191.0,59037472.0,9.0,
85.19,115242.0,13915.0,7191.0,59037472.0,9.0,
85.19,119827.0,14681.0,7191.0,59037472.0,9.0,
85.19,124632.0,15362.0,7191.0,59037472.0,9.0,
85.19,128948.0,15887.0,7191.0,59037472.0,9.0,
85.19,132547.0,16523.0,7191.0,59037472.0,9.0,
85.19,135586.0,17127.0,7191.0,59037472.0,9.0,
85.19,139422.0,17669.0,7191.0,59037472.0,9.0,
87.96,143626.0,18279.0,7191.0,59037472.0,9.0,
87.96,147577.0,18849.0,7191.0,59037472.0,9.0,
93.52,152271.0,19468.0,7191.0,59037472.0,9.0,
