date,stringency_index,total_cases,total_deaths,total_vaccinations, Gross Domestic Product (GDP)  Normalised
2021-05-01,49.07,597225.0,10296.0,4311837.0,98.8828853228045
2021-06-01,49.07,749130.0,13140.0,17774707.0,98.9327454852105
2021-07-01,53.24,801721.0,14802.0,54726747.0,98.9893590483255
2021-08-01,50.46,935886.0,15197.0,100878109.0,99.0663629468008
2021-09-01,52.31,1507223.0,16123.0,137754134.0,99.1695585514666
2021-10-01,47.22,1702819.0,17683.0,170953364.0,99.283729549251
2021-11-01,47.22,1722966.0,18275.0,193797409.0,99.3883550051006
2021-12-01,47.22,1727431.0,18362.0,199711835.0,99.4725224821006
2022-01-01,47.22,1734292.0,18393.0,201971819.0,99.5505113482799
2022-02-01,47.22,2811050.0,18871.0,208652029.0,99.6439984643317
2022-03-01,47.22,5067735.0,23860.0,232946232.0,99.7645471203823
2022-04-01,45.37,6606464.0,28200.0,259284418.0,99.8947988987178
2022-05-01,45.37,7901933.0,29601.0,274105909.0,100.006602652895
2022-06-01,43.08,8872795.0,30653.0,281406082.0,100.078473100048
2022-07-01,37.52,9352645.0,31297.0,285568471.0,100.114396978785
2022-08-01,37.52,12749822.0,32694.0,300898005.0,100.132369981281
2022-09-01,37.51,18939344.0,40198.0,318051472.0,100.155373679783
2022-10-01,31.48,21301280.0,44894.0,325673927.0,100.203611254034
2022-11-01,31.48,22360872.0,46781.0,333357001.0,100.293732337284
2022-12-01,31.48,24911367.0,50193.0,352753428.0,100.436241169588
