date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled
2020-03-01,2.78,6.0,3.0,2924.0,127504120.0,1958.0,98.0727267363178,100.28437845527654
2020-03-02,2.78,8.0,3.0,2924.0,127504120.0,1958.0,97.85744530981688,100.28437845527654
2020-03-03,2.78,10.0,3.0,2924.0,127504120.0,1958.0,97.64216388331597,100.28437845527654
2020-03-04,2.78,15.0,3.0,2924.0,127504120.0,1958.0,97.42688245681505,100.28437845527654
2020-03-05,2.78,24.0,3.0,2924.0,127504120.0,1958.0,97.21160103031414,100.28437845527654
2020-03-06,2.78,34.0,3.0,2924.0,127504120.0,1958.0,96.99631960381322,100.28437845527654
2020-03-07,2.78,45.0,3.0,2924.0,127504120.0,1958.0,96.78103817731231,100.28437845527654
2020-03-08,2.78,51.0,3.0,2924.0,127504120.0,1958.0,96.56575675081139,100.28437845527654
2020-03-09,2.78,58.0,3.0,2924.0,127504120.0,1958.0,96.35047532431048,100.28437845527654
2020-03-10,2.78,66.0,3.0,2924.0,127504120.0,1958.0,96.13519389780956,100.28437845527654
2020-03-11,2.78,71.0,3.0,2924.0,127504120.0,1958.0,95.91991247130865,100.28437845527654
2020-03-12,2.78,88.0,3.0,2924.0,127504120.0,1958.0,95.70463104480773,100.28437845527654
2020-03-13,2.78,127.0,3.0,2924.0,127504120.0,1958.0,95.4893496183068,100.28437845527654
2020-03-14,2.78,168.0,3.0,2924.0,127504120.0,1958.0,95.2740681918059,100.28437845527654
2020-03-15,2.78,234.0,3.0,2924.0,127504120.0,1958.0,95.05878676530497,100.28437845527654
2020-03-16,2.78,286.0,3.0,2924.0,127504120.0,1958.0,94.84350533880406,100.28437845527654
2020-03-17,2.78,323.0,3.0,2924.0,127504120.0,1958.0,94.62822391230314,100.28437845527654
2020-03-18,2.78,400.0,3.0,2924.0,127504120.0,1958.0,94.41294248580223,100.28437845527654
2020-03-19,2.78,504.0,3.0,2924.0,127504120.0,1958.0,94.19766105930131,100.28437845527654
2020-03-20,2.78,620.0,3.0,2924.0,127504120.0,1958.0,93.9823796328004,100.28437845527654
2020-03-21,8.33,771.0,3.0,2924.0,127504120.0,1958.0,93.76709820629948,99.67510519490607
2020-03-22,8.33,903.0,4.0,2924.0,127504120.0,1958.0,93.55181677979857,99.67510519490607
2020-03-23,19.44,988.0,4.0,2924.0,127504120.0,1958.0,93.33653535329765,99.18787699049244
2020-03-24,52.78,1058.0,6.0,2924.0,127504120.0,1958.0,93.12125392679673,98.89989482559909
2020-03-25,52.78,1226.0,7.0,2924.0,127504120.0,1958.0,92.90597250029582,98.89989482559909
2020-03-26,63.89,1446.0,10.0,2924.0,127504120.0,1958.0,92.6906910737949,97.45852861975824
2020-03-27,63.89,1631.0,12.0,2924.0,127504120.0,1958.0,92.47540964729399,97.45852861975824
2020-03-28,63.89,1855.0,20.0,2924.0,127504120.0,1958.0,92.26012822079306,97.45852861975824
