date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
2020-01-03,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.6397824338422
2020-01-04,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.63775597984812
2020-01-05,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.63572952585406
2020-01-06,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.63370307185998
2020-01-07,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.6316766178659
2020-01-08,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.62965016387184
2020-01-09,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.62762370987777
2020-01-10,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.62559725588369
2020-01-11,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.62357080188961
2020-01-12,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.62154434789555
2020-01-13,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.61951789390147
2020-01-14,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.6174914399074
2020-01-15,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.61546498591333
2020-01-16,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.61343853191926
2020-01-17,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.61141207792518
2020-01-18,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.60938562393112
2020-01-19,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.60735916993704
2020-01-20,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.60533271594296
2020-01-21,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.6033062619489
2020-01-22,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.60127980795482
2020-01-23,0.0,1.0,1.0,0.0,85341248.0,336532.0,98.59925335396075
2020-01-24,2.78,1.0,1.0,0.0,85341248.0,336532.0,98.59722689996669
