stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
0.0,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,98.5810152680141
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
2.78,1.0,1.0,0.0,85341248.0,336532.0,
8.33,1.0,1.0,0.0,85341248.0,336532.0,
8.33,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,98.5603855520648
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
19.44,1.0,1.0,0.0,85341248.0,336532.0,
23.15,1.0,1.0,0.0,85341248.0,336532.0,
23.15,1.0,1.0,0.0,85341248.0,336532.0,
23.15,1.0,1.0,0.0,85341248.0,336532.0,
23.15,1.0,1.0,0.0,85341248.0,336532.0,
23.15,1.0,1.0,0.0,85341248.0,336532.0,
23.15,5.0,1.0,0.0,85341248.0,336532.0,
23.15,6.0,1.0,0.0,85341248.0,336532.0,
52.78,18.0,1.0,0.0,85341248.0,336532.0,
52.78,47.0,1.0,0.0,85341248.0,336532.0,
58.33,98.0,1.0,0.0,85341248.0,336532.0,
58.33,191.0,2.0,0.0,85341248.0,336532.0,
58.33,359.0,4.0,0.0,85341248.0,336532.0,
62.04,670.0,9.0,0.0,85341248.0,336532.0,
62.04,947.0,21.0,0.0,85341248.0,336532.0,
62.04,1236.0,30.0,0.0,85341248.0,336532.0,
67.59,1529.0,37.0,0.0,85341248.0,336532.0,
67.59,1872.0,44.0,0.0,85341248.0,336532.0,
67.59,2433.0,59.0,0.0,85341248.0,336532.0,
70.37,3629.0,75.0,0.0,85341248.0,336532.0,
75.93,5698.0,92.0,0.0,85341248.0,336532.0,
75.93,7402.0,108.0,0.0,85341248.0,336532.0,
75.93,9217.0,131.0,0.0,85341248.0,336532.0,
75.93,10827.0,168.0,0.0,85341248.0,336532.0,
75.93,13531.0,214.0,0.0,85341248.0,336532.0,95.0429212631754
75.93,15679.0,277.0,0.0,85341248.0,336532.0,
75.93,18135.0,356.0,0.0,85341248.0,336532.0,
75.93,20921.0,425.0,0.0,85341248.0,336532.0,
75.93,23934.0,501.0,0.0,85341248.0,336532.0,
75.93,27069.0,574.0,0.0,85341248.0,336532.0,
75.93,30217.0,649.0,0.0,85341248.0,336532.0,
75.93,34109.0,725.0,0.0,85341248.0,336532.0,
75.93,38226.0,812.0,0.0,85341248.0,336532.0,
75.93,42282.0,908.0,0.0,85341248.0,336532.0,
77.78,47029.0,1006.0,0.0,85341248.0,336532.0,
77.78,52167.0,1101.0,0.0,85341248.0,336532.0,
75.93,56956.0,1198.0,0.0,85341248.0,336532.0,
