date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled
2020-03-01,11.11,73.0,1.0,45620.0,338289856.0,9669.0,95.5768213246958,95.93148823852265
2020-03-02,11.11,82.0,2.0,45620.0,338289856.0,9669.0,95.50130419327974,95.93148823852265
2020-03-03,11.11,100.0,2.0,45620.0,338289856.0,9669.0,95.42578706186367,95.93148823852265
2020-03-04,11.11,135.0,8.0,45620.0,338289856.0,9669.0,95.35026993044761,95.93148823852265
2020-03-05,20.37,186.0,11.0,45620.0,338289856.0,9669.0,95.27475279903155,98.28517176156046
2020-03-06,20.37,256.0,13.0,45620.0,338289856.0,9669.0,95.19923566761548,98.28517176156046
2020-03-07,20.37,334.0,16.0,45620.0,338289856.0,9669.0,95.12371853619942,98.28517176156046
2020-03-08,20.37,464.0,19.0,45620.0,338289856.0,9669.0,95.04820140478336,98.28517176156046
2020-03-09,20.37,610.0,24.0,45620.0,338289856.0,9669.0,94.97268427336728,98.28517176156046
2020-03-10,20.37,822.0,28.0,45620.0,338289856.0,9669.0,94.89716714195121,98.28517176156046
2020-03-11,21.76,1212.0,32.0,45620.0,338289856.0,9669.0,94.82165001053515,98.5657641848962
2020-03-12,30.09,1709.0,39.0,45620.0,338289856.0,9669.0,94.74613287911909,99.85368865519843
2020-03-13,30.09,2234.0,51.0,45620.0,338289856.0,9669.0,94.67061574770302,99.85368865519843
2020-03-14,35.65,2961.0,58.0,45620.0,338289856.0,9669.0,94.59509861628696,100.34104910683224
2020-03-15,41.2,3929.0,69.0,45620.0,338289856.0,9669.0,94.5195814848709,100.53348984544995
2020-03-16,52.31,5148.0,82.0,45620.0,338289856.0,9669.0,94.44406435345483,100.04702773362071
2020-03-17,55.09,7283.0,100.0,45620.0,338289856.0,9669.0,94.36854722203877,99.74545190417406
2020-03-18,55.09,9652.0,121.0,45620.0,338289856.0,9669.0,94.29303009062271,99.74545190417406
2020-03-19,67.13,12881.0,149.0,45620.0,338289856.0,9669.0,94.21751295920664,97.62061157540496
