stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
11.11,73.0,1.0,45620.0,338289856.0,9669.0,95.5768213246958
11.11,82.0,2.0,45620.0,338289856.0,9669.0,
11.11,100.0,2.0,45620.0,338289856.0,9669.0,
11.11,135.0,8.0,45620.0,338289856.0,9669.0,
20.37,186.0,11.0,45620.0,338289856.0,9669.0,
20.37,256.0,13.0,45620.0,338289856.0,9669.0,
20.37,334.0,16.0,45620.0,338289856.0,9669.0,
20.37,464.0,19.0,45620.0,338289856.0,9669.0,
20.37,610.0,24.0,45620.0,338289856.0,9669.0,
20.37,822.0,28.0,45620.0,338289856.0,9669.0,
21.76,1212.0,32.0,45620.0,338289856.0,9669.0,
30.09,1709.0,39.0,45620.0,338289856.0,9669.0,
30.09,2234.0,51.0,45620.0,338289856.0,9669.0,
35.65,2961.0,58.0,45620.0,338289856.0,9669.0,
41.2,3929.0,69.0,45620.0,338289856.0,9669.0,
52.31,5148.0,82.0,45620.0,338289856.0,9669.0,
55.09,7283.0,100.0,45620.0,338289856.0,9669.0,
55.09,9652.0,121.0,45620.0,338289856.0,9669.0,
67.13,12881.0,149.0,45620.0,338289856.0,9669.0,
67.13,17743.0,213.0,45620.0,338289856.0,9669.0,
72.69,23856.0,282.0,45620.0,338289856.0,9669.0,
72.69,31415.0,374.0,45620.0,338289856.0,9669.0,
72.69,40525.0,486.0,45620.0,338289856.0,9669.0,
72.69,51290.0,604.0,45620.0,338289856.0,9669.0,
72.69,62044.0,768.0,45620.0,338289856.0,9669.0,
72.69,73376.0,977.0,45620.0,338289856.0,9669.0,
72.69,87491.0,1278.0,45620.0,338289856.0,9669.0,
72.69,105965.0,1619.0,45620.0,338289856.0,9669.0,
72.69,126309.0,2106.0,45620.0,338289856.0,9669.0,
72.69,146982.0,2662.0,45620.0,338289856.0,9669.0,
72.69,173143.0,3327.0,45620.0,338289856.0,9669.0,
72.69,188679.0,3958.0,45620.0,338289856.0,9669.0,93.2357902507978
72.69,211939.0,4940.0,45620.0,338289856.0,9669.0,
72.69,240613.0,6061.0,45620.0,338289856.0,9669.0,
72.69,270403.0,7372.0,45620.0,338289856.0,9669.0,
72.69,302460.0,8748.0,45620.0,338289856.0,9669.0,
72.69,334594.0,10288.0,45620.0,338289856.0,9669.0,
72.69,361578.0,12161.0,45620.0,338289856.0,9669.0,
72.69,390207.0,13852.0,45620.0,338289856.0,9669.0,
72.69,419562.0,15945.0,45620.0,338289856.0,9669.0,
72.69,453710.0,18166.0,45620.0,338289856.0,9669.0,
72.69,488453.0,20396.0,45620.0,338289856.0,9669.0,
72.69,521632.0,22637.0,45620.0,338289856.0,9669.0,
72.69,553167.0,24829.0,45620.0,338289856.0,9669.0,
72.69,580261.0,26686.0,45620.0,338289856.0,9669.0,
72.69,605505.0,28591.0,45620.0,338289856.0,9669.0,
72.69,630764.0,31023.0,45620.0,338289856.0,9669.0,
72.69,655972.0,33754.0,45620.0,338289856.0,9669.0,
72.69,687466.0,36199.0,45620.0,338289856.0,9669.0,
72.69,717782.0,38535.0,45620.0,338289856.0,9669.0,
72.69,746063.0,40383.0,45620.0,338289856.0,9669.0,
72.69,772133.0,42376.0,45620.0,338289856.0,9669.0,
72.69,798561.0,44453.0,45620.0,338289856.0,9669.0,
72.69,824488.0,47126.0,45620.0,338289856.0,9669.0,
72.69,854958.0,49347.0,45620.0,338289856.0,9669.0,
72.69,888169.0,51331.0,45620.0,338289856.0,9669.0,
72.69,922947.0,53434.0,45620.0,338289856.0,9669.0,
72.69,956550.0,55326.0,45620.0,338289856.0,9669.0,
72.69,982613.0,56861.0,45620.0,338289856.0,9669.0,
72.69,1006371.0,58350.0,45620.0,338289856.0,9669.0,
72.69,1030306.0,60461.0,45620.0,338289856.0,9669.0,
72.69,1057080.0,62878.0,45620.0,338289856.0,9669.0,92.0337814632673
72.69,1088301.0,65116.0,45620.0,338289856.0,9669.0,
72.69,1121383.0,67069.0,45620.0,338289856.0,9669.0,
72.69,1149675.0,68678.0,45620.0,338289856.0,9669.0,
72.69,1175602.0,70090.0,45620.0,338289856.0,9669.0,
72.69,1197926.0,71361.0,45620.0,338289856.0,9669.0,
72.69,1220804.0,73795.0,45620.0,338289856.0,9669.0,
72.69,1246244.0,76136.0,45620.0,338289856.0,9669.0,
72.69,1274796.0,78169.0,45620.0,338289856.0,9669.0,
72.69,1303629.0,79827.0,45620.0,338289856.0,9669.0,
72.69,1329546.0,81318.0,45620.0,338289856.0,9669.0,
72.69,1350202.0,82391.0,45620.0,338289856.0,9669.0,
72.69,1370152.0,83425.0,45620.0,338289856.0,9669.0,
72.69,1394054.0,84958.0,45620.0,338289856.0,9669.0,
72.69,1411390.0,86465.0,45620.0,338289856.0,9669.0,
72.69,1446033.0,88408.0,45620.0,338289856.0,9669.0,
72.69,1472661.0,89957.0,45620.0,338289856.0,9669.0,
72.69,1498742.0,91196.0,45620.0,338289856.0,9669.0,
72.69,1518659.0,92123.0,45620.0,338289856.0,9669.0,
72.69,1541403.0,93069.0,45620.0,338289856.0,9669.0,
72.69,1563326.0,94248.0,45620.0,338289856.0,9669.0,
72.69,1586832.0,95622.0,45620.0,338289856.0,9669.0,
72.69,1613023.0,96705.0,45620.0,338289856.0,9669.0,
72.69,1638986.0,98515.0,45620.0,338289856.0,9669.0,
72.69,1660451.0,99452.0,45620.0,338289856.0,9669.0,
72.69,1681102.0,100240.0,45620.0,338289856.0,9669.0,
72.69,1700481.0,100927.0,45620.0,338289856.0,9669.0,
72.69,1717991.0,101738.0,45620.0,338289856.0,9669.0,
72.69,1737499.0,103023.0,45620.0,338289856.0,9669.0,
72.69,1761681.0,104274.0,45620.0,338289856.0,9669.0,
72.69,1785422.0,105325.0,45620.0,338289856.0,9669.0,
72.69,1809549.0,106231.0,45620.0,338289856.0,9669.0,93.9208265794189
72.69,1831015.0,106904.0,45620.0,338289856.0,9669.0,
72.69,1848172.0,107595.0,45620.0,338289856.0,9669.0,
72.69,1869146.0,108529.0,45620.0,338289856.0,9669.0,
72.69,1889841.0,109551.0,45620.0,338289856.0,9669.0,
72.69,1910711.0,110436.0,45620.0,338289856.0,9669.0,
72.69,1935202.0,111312.0,45620.0,338289856.0,9669.0,
72.69,1958487.0,111981.0,45620.0,338289856.0,9669.0,
72.69,1976942.0,112574.0,45620.0,338289856.0,9669.0,
72.69,1995093.0,113350.0,45620.0,338289856.0,9669.0,
72.69,2013674.0,114177.0,45620.0,338289856.0,9669.0,
72.69,2035855.0,115059.0,45620.0,338289856.0,9669.0,
72.69,2058745.0,115947.0,45620.0,338289856.0,9669.0,
72.69,2087078.0,116682.0,45620.0,338289856.0,9669.0,
68.98,2113512.0,117367.0,45620.0,338289856.0,9669.0,
68.98,2134290.0,117856.0,45620.0,338289856.0,9669.0,
68.98,2154881.0,118381.0,45620.0,338289856.0,9669.0,
68.98,2179658.0,119055.0,45620.0,338289856.0,9669.0,
68.98,2205474.0,119739.0,45620.0,338289856.0,9669.0,
68.98,2233994.0,120382.0,45620.0,338289856.0,9669.0,
68.98,2267099.0,121137.0,45620.0,338289856.0,9669.0,
68.98,2300566.0,121713.0,45620.0,338289856.0,9669.0,
