"Country, Territory",Total Cases,"Feb 9,10 Cases",Total Deaths,"Feb 9,10 Deaths",Total Recovered,Total Severe,Region
China,40199,3001.0,908.0,97.0,3623.0,6484.0,Asia
Japan,161,72.0,,,4.0,,Asia
Singapore,45,5.0,,,7.0,7.0,Asia
Hong Kong,42,16.0,1.0,,,,Asia
Thailand,32,,,,10.0,1.0,Asia
S. Korea,27,3.0,,,3.0,,Asia
Taiwan,18,1.0,,,1.0,,Asia
Malaysia,18,2.0,,,3.0,,Asia
Australia,15,,,,5.0,,Oceania
Vietnam,14,1.0,,,3.0,,Asia
Germany,14,,,,,,Europe
USA,12,,,,3.0,,N.America
France,11,,,,,1.0,Europe
Macao,10,,,,1.0,,Asia
U.K.,8,5.0,,,,,Europe
U.A.E.,8,1.0,,,1.0,,Asia
Canada,7,,,,,,N.America
Philippines,3,,1.0,,2.0,,Asia
India,3,,,,,,Asia
Italy,3,,,,,2.0,Europe
Russia,2,,,,,,Europe
Spain,2,1.0,,,,,Europe
Finland,1,,,,1.0,,Europe
Nepal,1,,,,,,Asia
Sweden,1,,,,,,Europe
Sri Lanka,1,,,,1.0,,Asia
Cambodia,1,,,,1.0,,Asia
Belgium,1,,,,,,Europe
