"Country, Territory",Total Cases,Feb 11 Cases,Total Deaths,Feb 11 Deaths,Total Recovered,Total Severe,Region
China,44653,2015.0,1113.0,97.0,4740.0,8204.0,Asia
Japan,203,42.0,,,4.0,,Asia
Hong Kong,49,7.0,1.0,,,,Asia
Singapore,47,2.0,,,9.0,7.0,Asia
Thailand,33,1.0,,,10.0,1.0,Asia
S. Korea,28,1.0,,,4.0,,Asia
Malaysia,18,,,,3.0,,Asia
Taiwan,18,,,,1.0,,Asia
Germany,16,2.0,,,,,Europe
Australia,15,,,,5.0,,Oceania
Vietnam,15,1.0,,,6.0,,Asia
USA,13,1.0,,,3.0,,N.America
France,11,,,,,1.0,Europe
Macao,10,,,,1.0,,Asia
U.K.,8,,,,1.0,,Europe
U.A.E.,8,,,,1.0,1.0,Asia
Canada,7,,,,1.0,,N.America
Philippines,3,,1.0,,2.0,,Asia
India,3,,,,,,Asia
Italy,3,,,,,2.0,Europe
Russia,2,,,,,,Europe
Spain,2,,,,,,Europe
Finland,1,,,,1.0,,Europe
Cambodia,1,,,,1.0,,Asia
Nepal,1,,,,,,Asia
Sri Lanka,1,,,,1.0,,Asia
Sweden,1,,,,,,Europe
Belgium,1,,,,,,Europe
