"Country, Territory",Total Cases,Change (cases),Total Deaths,Change (deaths),Total Recovered,"Serious, Critical",Region
China,63865,5104.0,1381.0,122.0,7014.0,10584.0,Asia
Japan,253,51.0,1.0,1.0,10.0,5.0,Asia
Singapore,58,8.0,,,15.0,8.0,Asia
Hong Kong,56,6.0,1.0,,1.0,6.0,Asia
Thailand,33,,,,12.0,1.0,Asia
S. Korea,28,,,,7.0,,Asia
Malaysia,19,1.0,,,3.0,,Asia
Taiwan,18,,,,1.0,,Asia
Vietnam,16,1.0,,,7.0,,Asia
Germany,16,,,,1.0,,Europe
Australia,15,,,,10.0,,Oceania
USA,15,2.0,,,3.0,,N.America
France,11,,,,2.0,1.0,Europe
Macao,10,,,,3.0,,Asia
U.K.,9,,,,1.0,,Europe
U.A.E.,8,,,,1.0,1.0,Asia
Canada,7,,,,1.0,,N.America
Philippines,3,,1.0,,2.0,,Asia
Italy,3,,,,,2.0,Europe
India,3,,,,1.0,,Asia
Russia,2,,,,2.0,,Europe
Spain,2,,,,,,Europe
Sweden,1,,,,,,Europe
Nepal,1,,,,1.0,,Asia
Sri Lanka,1,,,,1.0,,Asia
Finland,1,,,,1.0,,Europe
Cambodia,1,,,,1.0,,Asia
Belgium,1,,,,,,Europe
