"Country, Territory",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,70553,2053.0,1771.0,106.0,11066.0,11272.0,Asia
Singapore,75,,,,19.0,5.0,Asia
Japan,65,6.0,1.0,,17.0,8.0,Asia
Hong Kong,58,1.0,1.0,,2.0,7.0,Asia
Thailand,35,1.0,,,15.0,2.0,Asia
S. Korea,30,1.0,,,10.0,,Asia
Malaysia,22,,,,8.0,,Asia
Taiwan,20,,1.0,,2.0,,Asia
Germany,16,,,,3.0,,Europe
Vietnam,16,,,,7.0,,Asia
USA,15,,,,3.0,,N.America
Australia,15,,,,10.0,,Oceania
France,12,,1.0,,4.0,,Europe
Macao,10,,,,5.0,,Asia
U.A.E.,9,,,,3.0,1.0,Asia
U.K.,9,,,,8.0,,Europe
Canada,8,,,,1.0,,N.America
Philippines,3,,1.0,,2.0,,Asia
Italy,3,,,,,2.0,Europe
India,3,,,,3.0,,Asia
Russia,2,,,,2.0,,Europe
Spain,2,,,,2.0,,Europe
Egypt,1,,,,,,Africa
Cambodia,1,,,,1.0,,Asia
Sweden,1,,,,,,Europe
Nepal,1,,,,1.0,,Asia
Belgium,1,,,,1.0,,Europe
Sri Lanka,1,,,,1.0,,Asia
Finland,1,,,,1.0,,Europe
