"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80652,1.0,3070.0,,55552.0,22030,5489.0,56.0
S. Korea,7041,448.0,48.0,5.0,118.0,6875,36.0,137.3
Italy,5883,1247.0,233.0,36.0,589.0,5061,567.0,97.3
Iran,5823,1076.0,145.0,21.0,1669.0,4009,,69.3
France,949,296.0,16.0,7.0,12.0,921,45.0,14.5
Germany,800,130.0,,,18.0,782,9.0,9.5
Diamond Princess,696,,6.0,,245.0,445,32.0,
Spain,503,102.0,10.0,2.0,30.0,463,9.0,10.8
Japan,461,41.0,6.0,,76.0,379,28.0,3.6
USA,434,115.0,19.0,4.0,15.0,400,8.0,1.3
Switzerland,268,54.0,1.0,,3.0,264,,31.0
UK,209,45.0,2.0,,18.0,189,,3.1
Netherlands,188,60.0,1.0,,,187,1.0,11.0
Belgium,169,60.0,,,1.0,168,1.0,14.6
Sweden,161,24.0,,,1.0,160,,15.9
Norway,156,29.0,,,,156,,28.8
Singapore,138,8.0,,,90.0,48,8.0,23.6
Hong Kong,108,,2.0,,51.0,55,6.0,14.4
Malaysia,93,10.0,,,23.0,70,,2.9
Bahrain,85,25.0,,,6.0,79,,50.0
Austria,81,15.0,,,2.0,79,1.0,9.0
Australia,75,12.0,3.0,1.0,22.0,50,1.0,2.9
Greece,66,21.0,,,,66,1.0,6.3
Kuwait,61,3.0,,,1.0,60,,14.3
Canada,60,6.0,,,8.0,52,1.0,1.6
Iraq,54,8.0,4.0,,1.0,49,,1.3
Thailand,50,2.0,1.0,,31.0,18,1.0,0.7
Iceland,50,5.0,,,1.0,49,,
Egypt,48,33.0,,,1.0,47,,
Taiwan,45,,1.0,,15.0,29,,1.9
UAE,45,,,,7.0,38,2.0,4.5
India,34,3.0,,,3.0,31,,
Lebanon,28,6.0,,,1.0,27,3.0,4.1
Denmark,27,6.0,,,1.0,26,,4.7
Czechia,26,7.0,,,,26,,2.4
Israel,25,4.0,,,3.0,22,1.0,2.9
San Marino,23,,1.0,,,22,4.0,
Portugal,21,8.0,,,,21,,2.1
Vietnam,20,3.0,,,16.0,4,,
Algeria,19,2.0,,,,19,,
Brazil,19,6.0,,,,19,,
Finland,19,4.0,,,1.0,18,,3.4
Ireland,19,1.0,,,,19,,3.8
Palestine,19,3.0,,,,19,,3.7
Oman,16,,,,2.0,14,,3.1
Russia,15,2.0,,,3.0,12,,
Ecuador,14,1.0,,,,14,1.0,0.8
Georgia,13,4.0,,,,13,1.0,3.3
Romania,13,4.0,,,3.0,10,,0.7
Croatia,12,1.0,,,,12,,2.9
Qatar,12,1.0,,,,12,,4.2
Slovenia,12,4.0,,,,12,,5.8
Macao,10,,,,10.0,0,,
Estonia,10,,,,,10,,7.5
Argentina,9,1.0,1.0,1.0,,8,,
Azerbaijan,9,,,,,9,,0.9
Saudi Arabia,7,2.0,,,1.0,6,,
Philippines,6,1.0,1.0,,2.0,3,1.0,
Belarus,6,,,,,6,,0.6
Mexico,6,,,,1.0,5,,
Pakistan,6,,,,1.0,5,,
Peru,6,5.0,,,,6,,
Poland,6,1.0,,,,6,,
New Zealand,5,1.0,,,,5,,1.0
Chile,5,,,,,5,,
Hungary,5,1.0,,,,5,,0.5
Afghanistan,4,3.0,,,,4,,
Indonesia,4,,,,,4,,
Senegal,4,,,,1.0,3,,
Luxembourg,3,,,,,3,,
North Macedonia,3,,,,,3,,1.4
Bosnia and Herzegovina,3,,,,,3,,0.9
Malta,3,3.0,,,,3,,
Slovakia,3,2.0,,,,3,,0.5
Cambodia,2,1.0,,,1.0,1,,
Dominican Republic,2,,,,,2,,
Morocco,2,,,,,2,1.0,
Bulgaria,2,2.0,,,,2,,
Cameroon,2,,,,,2,,
Faeroe Islands,2,,,,,2,,
Maldives,2,2.0,,,,2,,
South Africa,2,1.0,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,
Jordan,1,,,,,1,,
Latvia,1,,,,1.0,0,,0.5
Lithuania,1,,,,,1,,
Monaco,1,,,,,1,,
Nepal,1,,,,1.0,0,,
Nigeria,1,,,,,1,,
Sri Lanka,1,,,,1.0,0,,
Tunisia,1,,,,,1,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Colombia,1,,,,,1,,
Costa Rica,1,,,,,1,,
Gibraltar,1,,,,,1,1.0,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,1.0,,,,1,,
Paraguay,1,1.0,,,,1,,
Serbia,1,,,,,1,,
Togo,1,,,,,1,,
Total:,106018,3974.0,3571.0,77.0,58659.0,43788,6259.0,13.6
