"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
China,81340,55.0,3292.0,5.0,74588.0,3460,1034.0,57.0,2.0
USA,85604,169.0,1301.0,6.0,1868.0,82435,2122.0,259.0,4.0
Italy,80589,,8215.0,,10361.0,62013,3612.0,1333.0,136.0
Spain,57786,,4365.0,,7015.0,46406,3166.0,1236.0,93.0
Germany,43938,,267.0,,5673.0,37998,23.0,524.0,3.0
Iran,29406,,2234.0,,10457.0,16715,2746.0,350.0,27.0
France,29155,,1696.0,,4948.0,22511,3375.0,447.0,26.0
Switzerland,11811,,192.0,,131.0,11488,141.0,1365.0,22.0
UK,11658,,578.0,,135.0,10945,163.0,172.0,9.0
S. Korea,9332,91.0,139.0,8.0,4528.0,4665,59.0,182.0,3.0
Netherlands,7431,,434.0,,3.0,6994,761.0,434.0,25.0
Austria,6909,,49.0,,112.0,6748,96.0,767.0,5.0
Belgium,6235,,220.0,,675.0,5340,605.0,538.0,19.0
Canada,4043,,39.0,,228.0,3776,120.0,107.0,1.0
Turkey,3629,,75.0,,26.0,3528,136.0,43.0,0.9
Portugal,3544,,60.0,,43.0,3441,61.0,348.0,6.0
Norway,3372,,14.0,,6.0,3352,70.0,622.0,3.0
Australia,3143,93.0,13.0,,170.0,2960,23.0,123.0,0.5
Israel,3035,342.0,10.0,2.0,79.0,2946,49.0,351.0,1.0
Brazil,2985,,77.0,,6.0,2902,296.0,14.0,0.4
Sweden,2840,,77.0,,16.0,2747,200.0,281.0,8.0
Malaysia,2031,,24.0,1.0,215.0,1792,45.0,63.0,0.7
Czechia,1925,,9.0,,10.0,1906,34.0,180.0,0.8
Denmark,1877,,41.0,,1.0,1835,94.0,324.0,7.0
Ireland,1819,,19.0,,5.0,1795,47.0,368.0,4.0
Luxembourg,1453,,9.0,,6.0,1438,3.0,2321.0,14.0
Ecuador,1403,,34.0,,3.0,1366,58.0,80.0,2.0
Japan,1387,,47.0,,359.0,981,57.0,11.0,0.4
Chile,1306,,4.0,,22.0,1280,7.0,68.0,0.2
Pakistan,1235,34.0,9.0,,23.0,1203,7.0,6.0,0.04
Poland,1221,,16.0,,7.0,1198,3.0,32.0,0.4
Thailand,1136,91.0,5.0,1.0,97.0,1034,11.0,16.0,0.07
Romania,1029,,23.0,,94.0,912,29.0,53.0,1.0
Saudi Arabia,1012,,3.0,,33.0,976,6.0,29.0,0.09
Finland,958,,5.0,,10.0,943,24.0,173.0,0.9
South Africa,927,,,,12.0,915,7.0,16.0,
Indonesia,893,,78.0,,35.0,780,,3.0,0.3
Greece,892,,27.0,,36.0,829,53.0,86.0,3.0
Russia,840,,3.0,,38.0,799,8.0,6.0,0.02
Iceland,802,,2.0,,82.0,718,11.0,2350.0,6.0
India,747,20.0,20.0,,66.0,661,,0.5,0.01
Diamond Princess,712,,10.0,,597.0,105,15.0,,
Philippines,707,,45.0,,28.0,634,1.0,6.0,0.4
Singapore,683,,2.0,,172.0,509,17.0,117.0,0.3
Panama,674,,9.0,,2.0,663,20.0,156.0,2.0
Argentina,589,,12.0,,72.0,505,,13.0,0.3
Mexico,585,110.0,8.0,2.0,4.0,573,1.0,5.0,0.06
Peru,580,,9.0,,14.0,557,14.0,18.0,0.3
Slovenia,562,,6.0,,10.0,546,14.0,270.0,3.0
Qatar,549,,,,43.0,506,6.0,191.0,
Estonia,538,,1.0,,8.0,529,6.0,406.0,0.8
Egypt,495,,24.0,,102.0,369,,5.0,0.2
Croatia,495,,3.0,,22.0,470,14.0,121.0,0.7
Colombia,491,,6.0,,8.0,477,,10.0,0.1
Dominican Republic,488,,10.0,,3.0,475,,45.0,0.9
Bahrain,458,,4.0,,204.0,250,1.0,269.0,2.0
Serbia,457,,7.0,,15.0,435,21.0,52.0,0.8
Hong Kong,454,,4.0,,110.0,340,5.0,61.0,0.5
Iraq,382,,36.0,,105.0,241,,9.0,0.9
Lebanon,368,,6.0,,23.0,339,3.0,54.0,0.9
New Zealand,368,,,,37.0,331,1.0,76.0,
Algeria,367,,25.0,,29.0,313,,8.0,0.6
Lithuania,344,45.0,4.0,,1.0,339,1.0,126.0,1.0
UAE,333,,2.0,,52.0,279,2.0,34.0,0.2
Armenia,329,39.0,1.0,,18.0,310,6.0,111.0,0.3
Hungary,300,39.0,10.0,,34.0,256,6.0,31.0,1.0
Bulgaria,276,12.0,3.0,,8.0,265,8.0,40.0,0.4
Morocco,275,,11.0,,8.0,256,1.0,7.0,0.3
Taiwan,267,15.0,2.0,,30.0,235,,11.0,0.08
Latvia,244,,,,1.0,243,,129.0,
Uruguay,238,,,,,238,3.0,69.0,
Costa Rica,231,,2.0,,2.0,227,5.0,45.0,0.4
Slovakia,226,,,,2.0,224,2.0,41.0,
Andorra,224,,3.0,,1.0,220,6.0,2899.0,39.0
Jordan,212,,,,1.0,211,,21.0,
San Marino,208,,21.0,,4.0,183,12.0,6130.0,619.0
Kuwait,208,,,,49.0,159,7.0,49.0,
North Macedonia,201,,3.0,,3.0,195,1.0,96.0,1.0
Tunisia,197,,5.0,,2.0,190,10.0,17.0,0.4
Ukraine,196,,5.0,,1.0,190,,4.0,0.1
Bosnia and Herzegovina,191,,3.0,,2.0,186,1.0,58.0,0.9
Moldova,177,,1.0,,2.0,174,28.0,44.0,0.2
Albania,174,,6.0,,17.0,151,3.0,60.0,2.0
Vietnam,153,,,,20.0,133,3.0,2.0,
Burkina Faso,152,,7.0,,10.0,135,,7.0,0.3
