"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
USA,116448,12322.0,1943.0,247.0,3224.0,111281,2666.0,352.0,6.0,Jan 20
Italy,92472,5974.0,10023.0,889.0,12384.0,70065,3856.0,1529.0,166.0,Jan 29
Spain,72248,6529.0,5812.0,674.0,12285.0,54151,4165.0,1545.0,124.0,Jan 30
Germany,56202,5331.0,403.0,52.0,6658.0,49141,1581.0,671.0,5.0,Jan 26
France,37575,4611.0,2314.0,319.0,5700.0,29561,4273.0,576.0,35.0,Jan 23
Iran,35408,3076.0,2517.0,139.0,11679.0,21212,3206.0,422.0,30.0,Feb 18
UK,17089,2546.0,1019.0,260.0,135.0,15935,163.0,252.0,15.0,Jan 30
Switzerland,13377,449.0,242.0,11.0,1530.0,11605,280.0,1546.0,28.0,Feb 24
Netherlands,9762,1159.0,639.0,93.0,3.0,9120,761.0,570.0,37.0,Feb 26
S. Korea,9478,146.0,144.0,5.0,4811.0,4523,59.0,185.0,3.0,Jan 19
Belgium,9134,1850.0,353.0,64.0,1063.0,7718,789.0,788.0,30.0,Feb 03
Austria,8188,491.0,68.0,10.0,225.0,7895,128.0,909.0,8.0,Feb 24
Turkey,7402,1704.0,108.0,16.0,42.0,7252,309.0,88.0,1.0,Mar 09
Canada,5434,677.0,55.0,,354.0,5025,120.0,144.0,1.0,Jan 24
Portugal,5170,902.0,100.0,24.0,43.0,5027,89.0,507.0,10.0,Mar 01
Norway,3981,210.0,22.0,3.0,7.0,3952,84.0,734.0,4.0,Feb 25
Australia,3635,257.0,14.0,1.0,170.0,3451,23.0,143.0,0.5,Jan 24
Israel,3619,584.0,12.0,,89.0,3518,50.0,418.0,1.0,Feb 20
Brazil,3477,60.0,93.0,1.0,6.0,3378,296.0,16.0,0.4,Feb 24
Sweden,3447,378.0,105.0,,16.0,3326,239.0,341.0,10.0,Jan 30
Czechia,2541,262.0,11.0,2.0,11.0,2519,250.0,237.0,1.0,Feb 29
Ireland,2415,294.0,36.0,14.0,5.0,2374,59.0,489.0,7.0,Feb 28
Malaysia,2320,159.0,27.0,1.0,320.0,1973,54.0,72.0,0.8,Jan 24
Denmark,2201,155.0,65.0,13.0,1.0,2135,109.0,380.0,11.0,Feb 26
Chile,1909,299.0,6.0,1.0,61.0,1842,7.0,100.0,0.3,Mar 02
Luxembourg,1831,226.0,18.0,3.0,40.0,1773,25.0,2925.0,29.0,Feb 28
Ecuador,1823,196.0,48.0,7.0,3.0,1772,58.0,103.0,3.0,Feb 28
Japan,1499,,49.0,,404.0,1046,56.0,12.0,0.4,Jan 14
Poland,1481,92.0,17.0,1.0,7.0,1457,3.0,39.0,0.4,Mar 03
Romania,1452,160.0,30.0,4.0,139.0,1283,34.0,75.0,2.0,Feb 25
Pakistan,1420,47.0,12.0,1.0,29.0,1379,7.0,6.0,0.05,Feb 25
Russia,1264,228.0,4.0,,49.0,1211,8.0,9.0,0.03,Jan 30
Thailand,1245,109.0,6.0,1.0,97.0,1142,11.0,18.0,0.09,Jan 12
Saudi Arabia,1203,99.0,4.0,1.0,37.0,1162,6.0,35.0,0.1,Mar 01
South Africa,1187,17.0,2.0,,31.0,1154,7.0,20.0,0.03,Mar 04
Finland,1167,126.0,9.0,2.0,10.0,1148,32.0,211.0,2.0,Jan 28
Indonesia,1155,109.0,102.0,15.0,59.0,994,,4.0,0.4,Mar 01
Philippines,1075,272.0,68.0,14.0,35.0,972,1.0,10.0,0.6,Jan 29
Greece,1061,95.0,32.0,4.0,52.0,977,66.0,102.0,3.0,Feb 25
Iceland,963,73.0,2.0,,114.0,847,18.0,2822.0,6.0,Feb 27
India,933,46.0,20.0,,84.0,829,,0.7,0.01,Jan 29
Singapore,802,70.0,2.0,,198.0,602,19.0,137.0,0.3,Jan 22
Panama,786,,14.0,,2.0,770,20.0,182.0,3.0,Mar 09
Dominican Republic,719,138.0,28.0,8.0,3.0,688,,66.0,3.0,Feb 29
Mexico,717,132.0,12.0,4.0,4.0,701,1.0,6.0,0.09,Feb 27
Diamond Princess,712,,10.0,,597.0,105,15.0,,,Feb 04
Argentina,690,101.0,17.0,4.0,72.0,601,,15.0,0.4,Mar 02
Slovenia,684,52.0,9.0,,10.0,665,25.0,329.0,4.0,Mar 03
Peru,671,36.0,16.0,5.0,16.0,639,33.0,20.0,0.5,Mar 05
Serbia,659,131.0,10.0,2.0,42.0,607,25.0,75.0,1.0,Mar 05
Croatia,657,71.0,5.0,2.0,45.0,607,14.0,160.0,1.0,Feb 24
Estonia,645,70.0,1.0,,20.0,624,10.0,486.0,0.8,Feb 26
Colombia,608,69.0,6.0,,10.0,592,,12.0,0.1,Mar 05
Qatar,590,28.0,1.0,1.0,45.0,544,6.0,205.0,0.3,Feb 28
Egypt,576,40.0,36.0,6.0,121.0,419,,6.0,0.4,Feb 13
Hong Kong,560,41.0,4.0,,112.0,444,5.0,75.0,0.5,Jan 22
Iraq,506,48.0,42.0,2.0,131.0,333,,13.0,1.0,Feb 21
Bahrain,476,10.0,4.0,,265.0,207,1.0,280.0,2.0,Feb 23
UAE,468,63.0,2.0,,52.0,414,2.0,47.0,0.2,Jan 28
Algeria,454,45.0,29.0,3.0,29.0,396,,10.0,0.7,Feb 24
New Zealand,451,83.0,,,50.0,401,2.0,94.0,,Feb 27
Lebanon,412,21.0,8.0,,30.0,374,4.0,60.0,1.0,Feb 20
Armenia,407,78.0,1.0,,30.0,376,6.0,137.0,0.3,Feb 29
Lithuania,382,24.0,5.0,,1.0,376,2.0,140.0,2.0,Feb 27
Morocco,359,14.0,24.0,1.0,11.0,324,1.0,10.0,0.7,Mar 01
Hungary,343,43.0,11.0,1.0,34.0,298,6.0,36.0,1.0,Mar 03
Bulgaria,331,38.0,6.0,3.0,11.0,314,8.0,48.0,0.9,Mar 06
Ukraine,311,1.0,8.0,3.0,5.0,298,,7.0,0.2,Mar 02
Andorra,308,41.0,3.0,,1.0,304,10.0,3986.0,39.0,Mar 01
Latvia,305,25.0,,,1.0,304,3.0,162.0,,Mar 01
Slovakia,292,23.0,,,2.0,290,1.0,53.0,,Mar 05
Taiwan,283,16.0,2.0,,30.0,251,,12.0,0.08,Jan 20
Uruguay,274,36.0,,,,274,8.0,79.0,,Mar 12
Costa Rica,263,,2.0,,3.0,258,5.0,52.0,0.4,Mar 04
Bosnia and Herzegovina,258,21.0,5.0,1.0,5.0,248,1.0,79.0,2.0,Mar 04
Jordan,246,11.0,1.0,,18.0,227,3.0,24.0,0.1,Mar 01
North Macedonia,241,22.0,4.0,1.0,3.0,234,1.0,116.0,2.0,Feb 25
Kuwait,235,10.0,,,64.0,171,11.0,55.0,,Feb 23
Moldova,231,32.0,2.0,,2.0,227,33.0,57.0,0.5,Mar 06
Kazakhstan,228,78.0,1.0,,16.0,211,,12.0,0.05,Mar 12
Tunisia,227,,7.0,,2.0,218,10.0,19.0,0.6,Mar 01
San Marino,224,1.0,22.0,1.0,6.0,196,16.0,6602.0,648.0,Feb 26
Burkina Faso,207,27.0,11.0,2.0,21.0,175,,10.0,0.5,Mar 08
Albania,197,11.0,10.0,2.0,31.0,156,3.0,68.0,3.0,Mar 07
Réunion,183,38.0,,,1.0,182,,204.0,,Mar 10
Azerbaijan,182,17.0,4.0,1.0,15.0,163,23.0,18.0,0.4,Feb 27
Cyprus,179,17.0,5.0,,15.0,159,3.0,148.0,4.0,Mar 08
Vietnam,174,11.0,,,21.0,153,3.0,2.0,,Jan 22
Faeroe Islands,155,11.0,,,54.0,101,2.0,3172.0,,Mar 03
Oman,152,21.0,,,23.0,129,,30.0,,Feb 23
Malta,149,10.0,,,2.0,147,1.0,337.0,,Mar 06
Ghana,141,4.0,5.0,1.0,2.0,134,1.0,5.0,0.2,Mar 11
Senegal,130,11.0,,,18.0,112,,8.0,,Mar 01
Brunei,120,5.0,1.0,1.0,25.0,94,1.0,274.0,2.0,Mar 08
Cuba,119,39.0,3.0,1.0,4.0,112,2.0,11.0,0.3,Mar 10
Venezuela,113,,2.0,,39.0,72,2.0,4.0,0.07,Mar 12
Sri Lanka,113,7.0,1.0,1.0,9.0,103,5.0,5.0,0.05,Jan 26
Afghanistan,110,,4.0,,2.0,104,,3.0,0.1,Feb 23
