"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
USA,211408,22878.0,4718.0,665.0,8805.0,197885,5005.0,639.0,14.0,Jan 20
Italy,110574,4782.0,13155.0,727.0,16847.0,80572,4035.0,1829.0,218.0,Jan 29
Spain,104118,8195.0,9387.0,923.0,22647.0,72084,5872.0,2227.0,201.0,Jan 30
Germany,77872,6064.0,920.0,145.0,18700.0,58252,3408.0,929.0,11.0,Jan 26
France,56989,4861.0,4032.0,509.0,10934.0,42023,6017.0,873.0,62.0,Jan 23
Iran,47593,2988.0,3036.0,138.0,15473.0,29084,3871.0,567.0,36.0,Feb 18
UK,29474,4324.0,2352.0,563.0,135.0,26987,163.0,434.0,35.0,Jan 30
Switzerland,17768,1163.0,488.0,55.0,2967.0,14313,348.0,2053.0,56.0,Feb 24
Turkey,15679,2148.0,277.0,63.0,333.0,15069,847.0,186.0,3.0,Mar 09
Belgium,13964,1189.0,828.0,123.0,2132.0,11004,1088.0,1205.0,71.0,Feb 03
Netherlands,13614,1019.0,1173.0,134.0,250.0,12191,1053.0,795.0,68.0,Feb 26
Austria,10711,531.0,146.0,18.0,1436.0,9129,215.0,1189.0,16.0,Feb 24
S. Korea,9887,101.0,165.0,3.0,5567.0,4155,55.0,193.0,3.0,Jan 19
Canada,9560,948.0,112.0,11.0,1615.0,7833,120.0,253.0,3.0,Jan 24
Portugal,8251,808.0,187.0,27.0,43.0,8021,230.0,809.0,18.0,Mar 01
Brazil,6836,1119.0,240.0,39.0,127.0,6469,296.0,32.0,1.0,Feb 24
Israel,6092,734.0,26.0,6.0,241.0,5825,95.0,704.0,3.0,Feb 20
Australia,4980,217.0,22.0,2.0,345.0,4613,50.0,195.0,0.9,Jan 24
Sweden,4947,512.0,239.0,59.0,103.0,4605,393.0,490.0,24.0,Jan 30
Norway,4877,236.0,44.0,5.0,13.0,4820,105.0,900.0,8.0,Feb 25
Czechia,3508,200.0,39.0,8.0,61.0,3408,70.0,328.0,4.0,Feb 29
Ireland,3447,212.0,85.0,14.0,5.0,3357,103.0,698.0,17.0,Feb 28
Denmark,3107,247.0,104.0,14.0,894.0,2109,145.0,536.0,18.0,Feb 26
Chile,3031,293.0,16.0,4.0,234.0,2781,31.0,159.0,0.8,Mar 02
Malaysia,2908,142.0,45.0,2.0,645.0,2218,102.0,90.0,1.0,Jan 24
Russia,2777,440.0,24.0,7.0,190.0,2563,8.0,19.0,0.2,Jan 30
Ecuador,2748,446.0,93.0,14.0,58.0,2597,100.0,156.0,5.0,Feb 28
Poland,2554,243.0,43.0,10.0,47.0,2464,50.0,67.0,1.0,Mar 03
Romania,2460,215.0,92.0,10.0,252.0,2116,57.0,128.0,5.0,Feb 25
Luxembourg,2319,141.0,29.0,6.0,80.0,2210,31.0,3705.0,46.0,Feb 28
Philippines,2311,227.0,96.0,8.0,50.0,2165,1.0,21.0,0.9,Jan 29
Japan,2178,,57.0,,472.0,1649,69.0,17.0,0.5,Jan 14
Pakistan,2118,180.0,27.0,1.0,94.0,1997,12.0,10.0,0.1,Feb 25
India,1998,601.0,58.0,23.0,148.0,1792,,1.0,0.04,Jan 29
Thailand,1771,120.0,12.0,2.0,505.0,1254,23.0,25.0,0.2,Jan 12
Saudi Arabia,1720,157.0,16.0,6.0,264.0,1440,31.0,49.0,0.5,Mar 01
Indonesia,1677,149.0,157.0,21.0,103.0,1417,,6.0,0.6,Mar 01
Finland,1446,28.0,17.0,,10.0,1419,62.0,261.0,3.0,Jan 28
Greece,1415,101.0,50.0,1.0,52.0,1313,90.0,136.0,5.0,Feb 25
South Africa,1380,27.0,5.0,,50.0,1325,7.0,23.0,0.08,Mar 04
Peru,1323,258.0,38.0,8.0,394.0,891,49.0,40.0,1.0,Mar 05
Dominican Republic,1284,175.0,57.0,6.0,9.0,1218,,118.0,5.0,Feb 29
Iceland,1220,85.0,2.0,,225.0,993,12.0,3575.0,6.0,Feb 27
Mexico,1215,121.0,29.0,1.0,35.0,1151,1.0,9.0,0.2,Feb 27
Panama,1181,,30.0,,9.0,1142,50.0,274.0,7.0,Mar 09
Colombia,1065,159.0,17.0,1.0,39.0,1009,47.0,21.0,0.3,Mar 05
Serbia,1060,160.0,28.0,5.0,42.0,990,62.0,121.0,3.0,Mar 05
Argentina,1054,,28.0,1.0,248.0,778,,23.0,0.6,Mar 02
Singapore,1000,74.0,3.0,,245.0,752,24.0,171.0,0.5,Jan 22
Croatia,963,96.0,6.0,,73.0,884,34.0,235.0,1.0,Feb 24
Algeria,847,131.0,58.0,14.0,61.0,728,,19.0,1.0,Feb 24
Slovenia,841,39.0,15.0,,10.0,816,31.0,405.0,7.0,Mar 03
Qatar,835,54.0,2.0,,71.0,762,37.0,290.0,0.7,Feb 28
UAE,814,150.0,8.0,2.0,61.0,745,2.0,82.0,0.8,Jan 28
Ukraine,794,149.0,20.0,3.0,13.0,761,,18.0,0.5,Mar 02
Egypt,779,69.0,52.0,6.0,179.0,548,,8.0,0.5,Feb 13
Estonia,779,34.0,5.0,1.0,33.0,741,15.0,587.0,4.0,Feb 26
Hong Kong,765,50.0,4.0,,147.0,614,5.0,102.0,0.5,Jan 22
Iraq,728,34.0,52.0,2.0,182.0,494,,18.0,1.0,Feb 21
Diamond Princess,712,,11.0,,603.0,98,15.0,,,Feb 04
New Zealand,708,61.0,1.0,,83.0,624,2.0,147.0,0.2,Feb 27
Morocco,654,37.0,39.0,3.0,29.0,586,1.0,18.0,1.0,Mar 01
Lithuania,581,44.0,8.0,,7.0,566,11.0,213.0,3.0,Feb 27
Armenia,571,39.0,4.0,1.0,31.0,536,30.0,193.0,1.0,Feb 29
Bahrain,569,2.0,4.0,,337.0,228,3.0,334.0,2.0,Feb 23
Hungary,525,33.0,20.0,4.0,40.0,465,17.0,54.0,2.0,Mar 03
Lebanon,479,16.0,14.0,2.0,43.0,422,5.0,70.0,2.0,Feb 20
Bosnia and Herzegovina,459,39.0,13.0,,19.0,427,1.0,140.0,4.0,Mar 04
Latvia,446,48.0,,,1.0,445,3.0,236.0,,Mar 01
Tunisia,423,29.0,12.0,2.0,5.0,406,10.0,36.0,1.0,Mar 01
Moldova,423,70.0,5.0,1.0,23.0,395,44.0,105.0,1.0,Mar 06
Bulgaria,422,23.0,10.0,2.0,20.0,392,18.0,61.0,1.0,Mar 06
Slovakia,400,37.0,1.0,1.0,3.0,396,1.0,73.0,0.2,Mar 05
Andorra,390,14.0,14.0,2.0,10.0,366,12.0,5048.0,181.0,Mar 01
Kazakhstan,380,37.0,3.0,1.0,26.0,351,6.0,20.0,0.2,Mar 12
Costa Rica,375,28.0,2.0,,4.0,369,9.0,74.0,0.4,Mar 04
Azerbaijan,359,61.0,5.0,,26.0,328,7.0,35.0,0.5,Feb 27
North Macedonia,354,25.0,11.0,2.0,17.0,326,4.0,170.0,5.0,Feb 25
Uruguay,338,,2.0,1.0,41.0,295,12.0,97.0,0.6,Mar 12
Taiwan,329,7.0,5.0,,45.0,279,,14.0,0.2,Jan 20
Cyprus,320,58.0,9.0,1.0,28.0,283,11.0,265.0,7.0,Mar 08
Kuwait,317,28.0,,,80.0,237,14.0,74.0,,Feb 23
Burkina Faso,282,21.0,16.0,2.0,46.0,220,,13.0,0.8,Mar 08
Réunion,281,34.0,,,40.0,241,3.0,314.0,,Mar 10
Jordan,278,4.0,5.0,,36.0,237,5.0,27.0,0.5,Mar 01
Albania,259,16.0,15.0,,67.0,177,7.0,90.0,5.0,Mar 07
Afghanistan,237,63.0,4.0,,5.0,228,,6.0,0.1,Feb 23
San Marino,236,,26.0,,13.0,197,16.0,6955.0,766.0,Feb 26
Cameroon,233,40.0,6.0,,10.0,217,,9.0,0.2,Mar 05
Vietnam,218,6.0,,,63.0,155,3.0,2.0,,Jan 22
Cuba,212,26.0,6.0,,12.0,194,3.0,19.0,0.5,Mar 10
Oman,210,18.0,1.0,,34.0,175,3.0,41.0,0.2,Feb 23
Ghana,195,34.0,5.0,,31.0,159,1.0,6.0,0.2,Mar 11
Ivory Coast,190,11.0,1.0,,9.0,180,,7.0,0.04,Mar 10
Senegal,190,15.0,1.0,1.0,45.0,144,,11.0,0.06,Mar 01
Malta,188,19.0,,,2.0,186,2.0,426.0,,Mar 06
Uzbekistan,181,9.0,2.0,,12.0,167,8.0,5.0,0.06,Mar 14
Nigeria,174,39.0,2.0,,9.0,163,,0.8,0.01,Feb 27
Faeroe Islands,173,4.0,,,75.0,98,1.0,3541.0,,Mar 03
Honduras,172,31.0,10.0,3.0,3.0,159,4.0,17.0,1.0,Mar 10
