"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,2172924,86638.0,144932.0,6458.0,546272.0,1481720,57060.0,279.0,18.6,,
USA,674585,26582.0,34458.0,2015.0,57232.0,582895,13369.0,2038.0,104.0,3385821.0,10229.0
Spain,182816,2157.0,19130.0,318.0,74797.0,88889,7371.0,3910.0,409.0,930230.0,19896.0
Italy,168941,3786.0,22170.0,525.0,40164.0,106607,2936.0,2794.0,367.0,1178403.0,19490.0
France,165027,17164.0,17920.0,753.0,32812.0,114295,6248.0,2528.0,275.0,333807.0,5114.0
Germany,136569,1816.0,3943.0,139.0,77000.0,55626,4288.0,1630.0,47.0,1728357.0,20629.0
UK,103093,4617.0,13729.0,861.0,,89020,1559.0,1519.0,202.0,417649.0,6152.0
Iran,77995,1606.0,4869.0,92.0,52229.0,20897,3594.0,929.0,58.0,310340.0,3695.0
Turkey,74193,4801.0,1643.0,125.0,7089.0,65461,1854.0,880.0,19.0,518143.0,6144.0
Belgium,34809,1236.0,4857.0,417.0,7562.0,22390,1182.0,3003.0,419.0,134303.0,11588.0
Brazil,30425,1815.0,1924.0,167.0,14026.0,14475,6634.0,143.0,9.0,62985.0,296.0
Canada,29929,1550.0,1191.0,181.0,9674.0,19064,557.0,793.0,32.0,467736.0,12393.0
Netherlands,29214,1061.0,3315.0,181.0,250.0,25649,1279.0,1705.0,193.0,147948.0,8634.0
Russia,27938,3448.0,232.0,34.0,2304.0,25402,8.0,191.0,2.0,1613413.0,11056.0
Switzerland,26732,396.0,1281.0,42.0,15900.0,9551,386.0,3089.0,148.0,206400.0,23849.0
Portugal,18841,750.0,629.0,30.0,493.0,17719,229.0,1848.0,62.0,208314.0,20430.0
Austria,14476,126.0,410.0,17.0,8986.0,5080,238.0,1607.0,46.0,162816.0,18078.0
Ireland,13271,724.0,486.0,42.0,77.0,12708,156.0,2688.0,98.0,90646.0,18358.0
India,12759,389.0,423.0,1.0,1514.0,10822,,9.0,0.3,302956.0,220.0
Israel,12758,257.0,142.0,12.0,2818.0,9798,181.0,1474.0,16.0,187250.0,21634.0
Sweden,12540,613.0,1333.0,130.0,550.0,10657,996.0,1242.0,132.0,74600.0,7387.0
Peru,12491,1016.0,274.0,20.0,6120.0,6097,169.0,379.0,8.0,121468.0,3684.0
S. Korea,10613,22.0,229.0,4.0,7757.0,2627,55.0,207.0,4.0,538775.0,10509.0
Chile,8807,534.0,105.0,11.0,3299.0,5403,384.0,461.0,5.0,98424.0,5149.0
Japan,8626,,178.0,,901.0,7547,168.0,68.0,1.0,94236.0,745.0
Ecuador,8225,367.0,403.0,15.0,838.0,6984,168.0,466.0,23.0,27868.0,1580.0
Poland,7918,336.0,314.0,28.0,774.0,6830,160.0,209.0,8.0,169071.0,4467.0
Romania,7707,491.0,392.0,20.0,1357.0,5958,243.0,401.0,20.0,79629.0,4139.0
Pakistan,6919,536.0,128.0,17.0,1645.0,5146,46.0,31.0,0.6,78979.0,358.0
Denmark,6879,198.0,321.0,12.0,3023.0,3535,92.0,1188.0,55.0,82380.0,14223.0
Norway,6848,51.0,152.0,2.0,32.0,6664,64.0,1263.0,28.0,133707.0,24664.0
Australia,6468,21.0,63.0,,3747.0,2658,66.0,254.0,2.0,380003.0,14902.0
Saudi Arabia,6380,518.0,83.0,4.0,990.0,5307,71.0,183.0,2.0,150000.0,4309.0
Czechia,6359,58.0,169.0,3.0,972.0,5218,75.0,594.0,16.0,146004.0,13634.0
Mexico,5847,448.0,449.0,43.0,2125.0,3273,207.0,45.0,3.0,40091.0,311.0
UAE,5825,460.0,35.0,2.0,1095.0,4695,1.0,589.0,4.0,767000.0,77550.0
