#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,4380110,60569.0,193062.0,1264.0,2075942.0,47689.0,2111106.0,19969.0,,,,,,North America,,,
,South America,3127526,13085.0,112533.0,282.0,2079143.0,3054.0,935850.0,13655.0,,,,,,South America,,,
,Asia,3254724,60429.0,76506.0,1305.0,2295361.0,42732.0,882857.0,19979.0,,,,,,Asia,,,
,Europe,2644152,14601.0,198586.0,421.0,1570890.0,11923.0,874676.0,5247.0,,,,,,Europe,,,
,Africa,685552,17484.0,14706.0,264.0,362012.0,15512.0,308834.0,1030.0,,,,,,Africa,,,
,Oceania,12909,430.0,138.0,3.0,9730.0,89.0,3041.0,32.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,14105694,166598.0,595546.0,3539.0,8393729.0,120999.0,5116419.0,59916.0,1810.0,76.4,,,,All,,,
1.0,USA,3745994,50969.0,141679.0,561.0,1697910.0,18277.0,1906405.0,16471.0,11314.0,428.0,46309397.0,139871.0,331086970.0,North America,88.0,2337.0,7.0
2.0,Brazil,2021834,7096.0,76997.0,175.0,1366775.0,,578062.0,8318.0,9509.0,362.0,4911063.0,23097.0,212624130.0,South America,105.0,2761.0,43.0
3.0,India,1040457,34820.0,26285.0,676.0,654078.0,17476.0,360094.0,8944.0,754.0,19.0,13072718.0,9469.0,1380567150.0,Asia,1327.0,52523.0,106.0
4.0,Russia,759203,6406.0,12123.0,186.0,539373.0,7681.0,207707.0,2300.0,5202.0,83.0,24364568.0,166952.0,145937345.0,Europe,192.0,12038.0,6.0
5.0,Peru,341586,,12615.0,,230994.0,,97977.0,1302.0,10354.0,382.0,2003963.0,60745.0,32989959.0,South America,97.0,2615.0,16.0
6.0,South Africa,337594,13373.0,4804.0,135.0,178183.0,12592.0,154607.0,539.0,5689.0,81.0,2324923.0,39181.0,59338665.0,Africa,176.0,12352.0,26.0
7.0,Chile,326539,2841.0,7290.0,,296814.0,1513.0,22435.0,1796.0,17076.0,381.0,1370603.0,71673.0,19123109.0,South America,59.0,2623.0,14.0
8.0,Mexico,324041,6406.0,37574.0,668.0,203464.0,4335.0,83003.0,378.0,2512.0,291.0,782063.0,6063.0,128988484.0,North America,398.0,3433.0,165.0
9.0,Spain,307335,1400.0,28420.0,4.0,,,,617.0,6573.0,608.0,6026446.0,128892.0,46755613.0,Europe,152.0,1645.0,8.0
10.0,UK,293239,687.0,45233.0,114.0,,,,142.0,4319.0,666.0,12892406.0,189869.0,67901609.0,Europe,232.0,1501.0,5.0
11.0,Iran,269440,2379.0,13791.0,183.0,232873.0,2265.0,22776.0,3509.0,3206.0,164.0,2073791.0,24677.0,84035940.0,Asia,312.0,6094.0,41.0
12.0,Pakistan,259999,2085.0,5475.0,49.0,183737.0,5000.0,70787.0,1895.0,1176.0,25.0,1676090.0,7582.0,221049347.0,Asia,850.0,40374.0,132.0
13.0,Saudi Arabia,245851,2613.0,2407.0,37.0,191161.0,3539.0,52283.0,2188.0,7058.0,69.0,2494873.0,71620.0,34834789.0,Asia,142.0,14472.0,14.0
14.0,Italy,243967,231.0,35028.0,11.0,196483.0,237.0,12456.0,50.0,4035.0,579.0,6154259.0,101795.0,60457649.0,Europe,248.0,1726.0,10.0
15.0,Turkey,217799,926.0,5458.0,18.0,199834.0,1014.0,12507.0,1226.0,2581.0,65.0,4191124.0,49672.0,84376289.0,Asia,387.0,15459.0,20.0
16.0,Germany,202337,501.0,9160.0,3.0,186900.0,500.0,6277.0,249.0,2415.0,109.0,6884614.0,82159.0,83795929.0,Europe,414.0,9148.0,12.0
17.0,Bangladesh,199357,3034.0,2547.0,51.0,108725.0,1762.0,88085.0,1.0,1210.0,15.0,1006751.0,6111.0,164757332.0,Asia,826.0,64687.0,164.0
18.0,France,174674,836.0,30152.0,14.0,79233.0,197.0,65289.0,452.0,2676.0,462.0,2602581.0,39868.0,65280042.0,Europe,374.0,2165.0,25.0
19.0,Colombia,173206,,6029.0,,76164.0,,91013.0,1027.0,3403.0,118.0,1113507.0,21874.0,50905162.0,South America,294.0,8443.0,46.0
20.0,Argentina,114783,,2133.0,21.0,49780.0,660.0,62870.0,752.0,2539.0,47.0,519281.0,11485.0,45213112.0,South America,394.0,21197.0,87.0
21.0,Canada,109516,252.0,8835.0,8.0,96623.0,23787.0,4058.0,2177.0,2901.0,234.0,3387755.0,89727.0,37756055.0,North America,345.0,4273.0,11.0
22.0,Qatar,105898,421.0,153.0,1.0,102597.0,429.0,3148.0,132.0,37716.0,54.0,435584.0,155133.0,2807805.0,Asia,27.0,18352.0,6.0
23.0,Iraq,88171,2023.0,3616.0,94.0,56495.0,2179.0,28060.0,382.0,2190.0,90.0,744847.0,18504.0,40254112.0,Asia,457.0,11132.0,54.0
24.0,Egypt,86474,703.0,4188.0,68.0,27302.0,611.0,54984.0,41.0,844.0,41.0,135000.0,1318.0,102405613.0,Africa,1184.0,24452.0,759.0
25.0,Indonesia,83130,1462.0,3957.0,84.0,41834.0,1489.0,37339.0,,304.0,14.0,1175462.0,4296.0,273642512.0,Asia,3292.0,69154.0,233.0
26.0,Sweden,76877,,5593.0,,,,,62.0,7610.0,554.0,681820.0,67494.0,10101989.0,Europe,131.0,1806.0,15.0
27.0,Ecuador,72444,1079.0,5250.0,43.0,31404.0,144.0,35790.0,313.0,4104.0,297.0,199115.0,11279.0,17653443.0,South America,244.0,3363.0,89.0
28.0,Kazakhstan,66895,1707.0,375.0,,40256.0,1190.0,26264.0,221.0,3561.0,20.0,1737546.0,92493.0,18785783.0,Asia,281.0,50095.0,11.0
29.0,Belarus,65782,159.0,491.0,6.0,57370.0,455.0,7921.0,89.0,6962.0,52.0,1162280.0,123003.0,9449179.0,Europe,144.0,19245.0,8.0
30.0,Oman,64193,1619.0,298.0,8.0,41450.0,1360.0,22445.0,157.0,12560.0,58.0,262869.0,51432.0,5110971.0,Asia,80.0,17151.0,19.0
31.0,Belgium,63238,199.0,9795.0,3.0,17269.0,16.0,36174.0,28.0,5455.0,845.0,1429053.0,123281.0,11591851.0,Europe,183.0,1183.0,8.0
32.0,Philippines,63001,1841.0,1660.0,17.0,21748.0,311.0,39593.0,647.0,575.0,15.0,1089603.0,9938.0,109639027.0,Asia,1740.0,66048.0,101.0
33.0,Kuwait,58221,553.0,404.0,2.0,48381.0,836.0,9436.0,143.0,13625.0,95.0,452970.0,106007.0,4273033.0,Asia,73.0,10577.0,9.0
34.0,Ukraine,57264,809.0,1456.0,11.0,29769.0,838.0,26039.0,92.0,1310.0,33.0,854064.0,19534.0,43720854.0,Europe,763.0,30028.0,51.0
35.0,UAE,56422,293.0,337.0,2.0,48448.0,1036.0,7637.0,1.0,5702.0,34.0,4364763.0,441098.0,9895224.0,Asia,175.0,29363.0,2.0
36.0,Bolivia,54156,1938.0,1984.0,42.0,16979.0,622.0,35193.0,71.0,4637.0,170.0,117111.0,10027.0,11679321.0,South America,216.0,5887.0,100.0
