#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,28333015,20024.0,594507.0,1619.0,17524910.0,14496.0,10213598.0,36240.0,,,,,,North America,,,
,Asia,22204984,8978.0,359039.0,153.0,20624709.0,11109.0,1221236.0,24090.0,,,,,,Asia,,,
,South America,14816205,2357.0,392073.0,42.0,13123853.0,1310.0,1300279.0,19175.0,,,,,,South America,,,
,Europe,27914624,9558.0,638359.0,70.0,15259911.0,26064.0,12016354.0,30007.0,,,,,,Europe,,,
,Africa,3324351,,80938.0,,2755482.0,,487931.0,2610.0,,,,,,Africa,,,
,Oceania,49666,15.0,1072.0,,33820.0,26.0,14774.0,21.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,
,World,96643566,40932.0,2066003.0,1884.0,69323391.0,53005.0,25254172.0,112143.0,12398.0,265.0,,,,All,,,
1.0,USA,24809841,,411520.0,,14786886.0,,9611435.0,28418.0,74711.0,1239.0,289798952.0,872686.0,332076824.0,North America,13.0,807.0,1.0
2.0,India,10596442,,152754.0,,10245741.0,649.0,197947.0,8944.0,7637.0,110.0,188566947.0,135905.0,1387493687.0,Asia,131.0,9083.0,7.0
3.0,Brazil,8575742,,211511.0,,7518846.0,,845385.0,8318.0,40187.0,991.0,28600000.0,134024.0,213394944.0,South America,25.0,1009.0,7.0
4.0,Russia,3612800,,66623.0,,3002026.0,,544151.0,2300.0,24750.0,456.0,97300000.0,666579.0,145969209.0,Europe,40.0,2191.0,2.0
5.0,UK,3466849,,91470.0,,1558503.0,,1816876.0,3916.0,50921.0,1343.0,65263737.0,958585.0,68083438.0,Europe,20.0,744.0,1.0
6.0,France,2938333,,71342.0,,211816.0,,2655175.0,2839.0,44961.0,1092.0,40432845.0,618678.0,65353626.0,Europe,22.0,916.0,2.0
7.0,Italy,2400598,,83157.0,,1781917.0,,535524.0,2487.0,39737.0,1376.0,29619436.0,490287.0,60412403.0,Europe,25.0,726.0,2.0
8.0,Turkey,2399781,,24328.0,,2277987.0,,97466.0,2162.0,28286.0,287.0,27698556.0,326481.0,84839713.0,Asia,35.0,3487.0,3.0
9.0,Spain,2370742,,54173.0,,,,,3416.0,50695.0,1158.0,30165217.0,645041.0,46764834.0,Europe,20.0,863.0,2.0
10.0,Germany,2071473,,49244.0,,1741800.0,25600.0,280429.0,5074.0,24680.0,587.0,36353196.0,433124.0,83932450.0,Europe,41.0,1704.0,2.0
11.0,Colombia,1939071,,49402.0,,1769935.0,,119734.0,3482.0,37886.0,965.0,9264307.0,181007.0,51182098.0,South America,26.0,1036.0,6.0
12.0,Argentina,1819569,,46066.0,,1604373.0,,169130.0,3562.0,40057.0,1014.0,5642212.0,124210.0,45424801.0,South America,25.0,986.0,8.0
13.0,Mexico,1668396,18894.0,142832.0,1584.0,1251782.0,14461.0,273782.0,5652.0,12865.0,1101.0,4190185.0,32312.0,129680166.0,North America,78.0,908.0,31.0
14.0,Poland,1443804,,33698.0,,1197034.0,,213072.0,1582.0,38172.0,891.0,8143530.0,215303.0,37823573.0,Europe,26.0,1122.0,5.0
15.0,South Africa,1356716,,38288.0,,1144857.0,,173571.0,546.0,22718.0,641.0,7700019.0,128934.0,59720691.0,Africa,44.0,1560.0,8.0
16.0,Iran,1342134,,56973.0,,1131883.0,,153278.0,4272.0,15867.0,674.0,8634553.0,102081.0,84585209.0,Asia,63.0,1485.0,10.0
17.0,Ukraine,1167655,,21046.0,,886248.0,,260361.0,177.0,26789.0,483.0,5983122.0,137267.0,43587318.0,Europe,37.0,2071.0,7.0
18.0,Peru,1073214,,39044.0,,989367.0,,44803.0,1696.0,32302.0,1175.0,5928005.0,178422.0,33224690.0,South America,31.0,851.0,6.0
19.0,Indonesia,927380,,26590.0,,753948.0,,146842.0,,3371.0,97.0,8433961.0,30656.0,275119393.0,Asia,297.0,10347.0,33.0
20.0,Netherlands,921580,,13162.0,,,,,683.0,53718.0,767.0,6352647.0,370289.0,17155901.0,Europe,19.0,1303.0,3.0
21.0,Czechia,909131,9558.0,14820.0,70.0,767750.0,464.0,126561.0,1095.0,84807.0,1382.0,5603105.0,522678.0,10720003.0,Europe,12.0,723.0,2.0
22.0,Canada,719751,,18266.0,,630430.0,,71055.0,870.0,18978.0,482.0,16710272.0,440614.0,37924946.0,North America,53.0,2076.0,2.0
23.0,Romania,697898,,17369.0,,630236.0,,50293.0,1050.0,36413.0,906.0,5193417.0,270968.0,19166136.0,Europe,27.0,1103.0,4.0
24.0,Belgium,679771,,20472.0,,46959.0,,612340.0,352.0,58512.0,1762.0,7620430.0,655940.0,11617563.0,Europe,17.0,567.0,2.0
25.0,Chile,677151,,17573.0,,634960.0,,24618.0,1081.0,35256.0,915.0,7366980.0,383560.0,19206853.0,South America,28.0,1093.0,3.0
26.0,Iraq,609852,,12962.0,,573011.0,,23879.0,134.0,14978.0,318.0,5191443.0,127503.0,40716388.0,Asia,67.0,3141.0,8.0
27.0,Israel,570085,4456.0,4142.0,62.0,483013.0,4116.0,82930.0,1113.0,61982.0,450.0,9750096.0,1060071.0,9197590.0,Asia,16.0,2221.0,1.0
28.0,Portugal,566958,,9246.0,,421871.0,,135841.0,670.0,55692.0,908.0,6451846.0,633766.0,10180167.0,Europe,18.0,1101.0,2.0
29.0,Sweden,533265,,10591.0,,,,,340.0,52621.0,1045.0,4916367.0,485131.0,10134107.0,Europe,19.0,957.0,2.0
30.0,Bangladesh,529031,,7942.0,,473855.0,,47234.0,,3195.0,48.0,3485257.0,21047.0,165594999.0,Asia,313.0,20851.0,48.0
31.0,Pakistan,524783,1772.0,11103.0,48.0,478517.0,2046.0,35163.0,2368.0,2351.0,50.0,7481688.0,33513.0,223244408.0,Asia,425.0,20107.0,30.0
32.0,Philippines,504084,,9978.0,,466249.0,,27857.0,727.0,4567.0,90.0,7369761.0,66765.0,110384291.0,Asia,219.0,11063.0,15.0
33.0,Switzerland,502191,,8859.0,,317600.0,,175732.0,331.0,57792.0,1019.0,4048237.0,465871.0,8689616.0,Europe,17.0,981.0,2.0
34.0,Morocco,461390,,8011.0,,436626.0,,16753.0,511.0,12419.0,216.0,5211258.0,140270.0,37151731.0,Africa,81.0,4638.0,7.0
