#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,78646288,19217.0,1275926.0,76.0,52660942.0,+23710,24709420.0,31990.0,,,,,,North America,,,,,,
,Asia,90437954,98234.0,1271424.0,112.0,84619803.0,+55316,4546727.0,25715.0,,,,,,Asia,,,,,,
,South America,43099353,435.0,1198462.0,1.0,38931623.0,,2969268.0,13983.0,,,,,,South America,,,,,,
,Europe,104267314,36129.0,1572981.0,364.0,81461245.0,+69413,21233088.0,21211.0,,,,,,Europe,,,,,,
,Africa,10480163,11.0,234380.0,,9284107.0,+116,961676.0,2714.0,,,,,,Africa,,,,,,
,Oceania,1973536,73609.0,5003.0,32.0,813216.0,+195,1155317.0,452.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,328905329,227635.0,5558191.0,585.0,267771642.0,+148736,55575496.0,96065.0,42195.0,713.1,,,,All,,,,,,
1.0,USA,66995533,,873564.0,,43090644.0,,23031325.0,25780.0,200590.0,2616.0,858706919.0,2571033.0,333993010.0,North America,5.0,382.0,0.0,,,68958.0
2.0,India,37380253,,486482.0,,35237461.0,,1656310.0,8944.0,26683.0,347.0,703762282.0,502364.0,1400902277.0,Asia,37.0,2880.0,2.0,,,1182.0
3.0,Brazil,23006952,,621099.0,,21710831.0,,675022.0,8318.0,107065.0,2890.0,63776166.0,296789.0,214887107.0,South America,9.0,346.0,3.0,,,3141.0
4.0,UK,15217280,,151987.0,,11389181.0,,3676112.0,777.0,222360.0,2221.0,430233640.0,6286709.0,68435429.0,Europe,4.0,450.0,0.0,,,53717.0
5.0,France,14172384,,126967.0,,9019484.0,,5025933.0,3895.0,216385.0,1939.0,211520605.0,3229516.0,65496070.0,Europe,5.0,516.0,0.0,,,76736.0
6.0,Russia,10803534,,321320.0,,9858615.0,,623599.0,2300.0,73981.0,2200.0,246400000.0,1687314.0,146030890.0,Europe,14.0,454.0,1.0,,,4270.0
7.0,Turkey,10457164,,84758.0,,9665504.0,,706902.0,1128.0,121968.0,989.0,125029654.0,1458296.0,85736822.0,Asia,8.0,1012.0,1.0,,,8245.0
8.0,Italy,8706915,,141104.0,,6016954.0,,2548857.0,1691.0,144334.0,2339.0,155797197.0,2582639.0,60324816.0,Europe,7.0,428.0,0.0,,,42252.0
9.0,Spain,8093036,,90759.0,,5249372.0,,2752905.0,2224.0,172992.0,1940.0,66213858.0,1415350.0,46782685.0,Europe,6.0,515.0,1.0,,,58845.0
10.0,Germany,7991432,,116268.0,,7000000.0,+36300,875164.0,3212.0,94914.0,1381.0,89622218.0,1064438.0,84196733.0,Europe,11.0,724.0,1.0,,,10394.0
11.0,Argentina,7094865,,118040.0,,6081081.0,,895744.0,2036.0,154793.0,2575.0,30511664.0,665691.0,45834595.0,South America,6.0,388.0,2.0,,,19543.0
12.0,Iran,6221033,,132075.0,,6064646.0,,24312.0,1345.0,72634.0,1542.0,42908102.0,500979.0,85648498.0,Asia,14.0,648.0,2.0,,,284.0
13.0,Colombia,5543796,,130996.0,,5220543.0,,192257.0,342.0,107192.0,2533.0,31070883.0,600773.0,51718199.0,South America,9.0,395.0,2.0,,,3717.0
14.0,Mexico,4368314,19132.0,301410.0,76.0,3443884.0,+23704,623020.0,4798.0,33341.0,2301.0,13140039.0,100291.0,131019145.0,North America,30.0,435.0,10.0,146.0,0.6,4755.0
15.0,Poland,4313036,,102305.0,,3790377.0,,420354.0,1558.0,114154.0,2708.0,28535750.0,755259.0,37782733.0,Europe,9.0,369.0,1.0,,,11126.0
16.0,Indonesia,4271649,,144170.0,,4118874.0,,8605.0,,15367.0,519.0,67445921.0,242630.0,277978381.0,Asia,65.0,1928.0,4.0,,,31.0
17.0,Ukraine,3759530,5072.0,98361.0,78.0,3556162.0,+2520,105007.0,177.0,86767.0,2270.0,17182817.0,396568.0,43328816.0,Europe,12.0,441.0,3.0,117.0,2.0,2423.0
18.0,Netherlands,3568999,,21155.0,,2930973.0,,616871.0,333.0,207581.0,1230.0,21107399.0,1227653.0,17193292.0,Europe,5.0,813.0,1.0,,,35879.0
19.0,South Africa,3559230,,93364.0,,3371004.0,,94862.0,546.0,58869.0,1544.0,21797292.0,360523.0,60460228.0,Africa,17.0,648.0,3.0,,,1569.0
20.0,Philippines,3242374,37070.0,52929.0,23.0,2898507.0,+33940,290938.0,1371.0,28995.0,473.0,26337108.0,235517.0,111826995.0,Asia,34.0,2113.0,4.0,331.0,0.2,2602.0
21.0,Malaysia,2808347,,31793.0,,2735355.0,,41199.0,182.0,85090.0,963.0,42952934.0,1301423.0,33004591.0,Asia,12.0,1038.0,1.0,,,1248.0
22.0,Canada,2759719,,31530.0,,2366673.0,,361516.0,752.0,72146.0,824.0,54722072.0,1430572.0,38251891.0,North America,14.0,1213.0,1.0,,,9451.0
23.0,Czechia,2603766,7235.0,36874.0,12.0,2437680.0,+43,129212.0,273.0,242445.0,3433.0,48143090.0,4482766.0,10739595.0,Europe,4.0,291.0,0.0,674.0,1.0,12031.0
24.0,Peru,2562534,,203376.0,,,,,1029.0,76087.0,6039.0,23133453.0,686879.0,33679091.0,South America,13.0,166.0,1.0,,,18958.0
25.0,Belgium,2410731,,28612.0,,1961548.0,+10040,420571.0,406.0,206622.0,2452.0,28436961.0,2437314.0,11667337.0,Europe,5.0,408.0,0.0,,,36047.0
26.0,Thailand,2331414,6929.0,21941.0,13.0,2227266.0,+5255,82207.0,588.0,33273.0,313.0,17270775.0,246479.0,70069857.0,Asia,30.0,3194.0,4.0,99.0,0.2,1173.0
27.0,Iraq,2114313,,24247.0,,2069890.0,,20176.0,64.0,50811.0,583.0,17044309.0,409608.0,41611276.0,Asia,20.0,1716.0,2.0,,,485.0
28.0,Vietnam,2023546,,35609.0,,1727290.0,,260647.0,5113.0,20505.0,361.0,76176966.0,771900.0,98687645.0,Asia,49.0,2771.0,1.0,,,2641.0
29.0,Romania,1903428,,59240.0,,1776122.0,,68066.0,474.0,99970.0,3111.0,22705086.0,1192500.0,19039900.0,Europe,10.0,321.0,1.0,,,3575.0
30.0,Portugal,1884974,,19303.0,,1538316.0,,327355.0,168.0,185695.0,1902.0,27780292.0,2736735.0,10150890.0,Europe,5.0,526.0,0.0,,,32249.0
31.0,Japan,1879839,26881.0,18433.0,2.0,1735909.0,+8445,125497.0,243.0,14934.0,146.0,30580630.0,242935.0,125879766.0,Asia,67.0,6829.0,4.0,214.0,0.02,997.0
32.0,Chile,1876610,,39394.0,,1749715.0,,87501.0,411.0,96887.0,2034.0,28444502.0,1468561.0,19368968.0,South America,10.0,492.0,1.0,,,4518.0
33.0,Australia,1801101,73258.0,2699.0,31.0,663745.0,,1134657.0,410.0,69392.0,104.0,58965530.0,2271789.0,25955543.0,Australia/Oceania,14.0,9617.0,0.0,2822.0,1.0,43715.0
34.0,Israel,1792137,,8318.0,,1530716.0,,253103.0,446.0,192166.0,892.0,41373364.0,4436346.0,9326000.0,Asia,5.0,1121.0,0.0,,,27140.0
35.0,Greece,1660871,,21984.0,,1323035.0,,315852.0,680.0,160555.0,2125.0,52763332.0,5100574.0,10344588.0,Europe,6.0,471.0,0.0,,,30533.0
36.0,Switzerland,1659220,,12566.0,,1161688.0,+9125,484966.0,268.0,189579.0,1436.0,15372970.0,1756484.0,8752124.0,Europe,5.0,696.0,1.0,,,55411.0
37.0,Bangladesh,1617711,,28144.0,,1552893.0,,36674.0,1349.0,9674.0,168.0,11861425.0,70935.0,167216580.0,Asia,103.0,5941.0,14.0,,,219.0
38.0,Sweden,1560363,,15470.0,,1239536.0,,305357.0,101.0,153033.0,1517.0,16009781.0,1570159.0,10196282.0,Europe,7.0,659.0,1.0,,,29948.0
39.0,Austria,1443589,,13920.0,,1295738.0,,133931.0,212.0,158888.0,1532.0,131737166.0,14499604.0,9085570.0,Europe,6.0,653.0,0.0,,,14741.0
40.0,Serbia,1436395,,13071.0,,1282153.0,,141171.0,99.0,165424.0,1505.0,7634520.0,879236.0,8683131.0,Europe,6.0,664.0,1.0,,,16258.0
41.0,Hungary,1348233,21219.0,40507.0,270.0,1169775.0,+11266,137951.0,270.0,140112.0,4210.0,9530346.0,990418.0,9622548.0,Europe,7.0,238.0,1.0,2205.0,28.0,14336.0
42.0,Pakistan,1328487,4340.0,29019.0,7.0,1263791.0,+207,35677.0,781.0,5840.0,128.0,24186508.0,106317.0,227493671.0,Asia,171.0,7839.0,9.0,19.0,0.03,157.0
43.0,Ireland,1103489,,6035.0,,638108.0,,459346.0,88.0,219699.0,1202.0,10485477.0,2087603.0,5022735.0,Europe,5.0,832.0,0.0,,,91453.0
44.0,Jordan,1100967,,12986.0,,1061250.0,,26731.0,608.0,106280.0,1254.0,14095738.0,1360704.0,10359149.0,Asia,9.0,798.0,1.0,,,2580.0
45.0,Denmark,1093978,,3494.0,,811263.0,,279221.0,59.0,187852.0,600.0,114846094.0,19720706.0,5823630.0,Europe,5.0,1667.0,0.0,,,47946.0
46.0,Kazakhstan,1061432,11524.0,13081.0,4.0,972495.0,+1712,75856.0,528.0,55507.0,684.0,11575012.0,605306.0,19122594.0,Asia,18.0,1462.0,2.0,603.0,0.2,3967.0
47.0,Morocco,1048653,,14976.0,,977695.0,,55982.0,293.0,27901.0,398.0,11237010.0,298981.0,37584326.0,Africa,36.0,2510.0,3.0,,,1490.0
48.0,Georgia,999343,3656.0,14481.0,32.0,931507.0,+3066,53355.0,,251257.0,3641.0,13604242.0,3420414.0,3977367.0,Asia,4.0,275.0,0.0,919.0,8.0,13415.0
49.0,Cuba,999193,,8340.0,,974345.0,,16508.0,46.0,88299.0,737.0,12217274.0,1079650.0,11315962.0,North America,11.0,1357.0,1.0,,,1459.0
50.0,Slovakia,879656,,17300.0,,827309.0,,35047.0,381.0,161000.0,3166.0,5257797.0,962311.0,5463717.0,Europe,6.0,316.0,1.0,,,6414.0
51.0,Nepal,853738,,11620.0,,816438.0,,25680.0,114.0,28512.0,388.0,5004234.0,167123.0,29943473.0,Asia,35.0,2577.0,6.0,,,858.0
52.0,Bulgaria,820608,,32086.0,,637045.0,,151477.0,557.0,119486.0,4672.0,7938957.0,1155963.0,6867827.0,Europe,8.0,214.0,1.0,,,22056.0
53.0,Lebanon,820170,,9383.0,,682977.0,,127810.0,186.0,120999.0,1384.0,4795578.0,707486.0,6778338.0,Asia,8.0,722.0,1.0,,,18856.0
54.0,Croatia,817435,,13118.0,,748818.0,,55499.0,224.0,201029.0,3226.0,3990460.0,981361.0,4066249.0,Europe,5.0,310.0,1.0,,,13649.0
55.0,UAE,805248,,2191.0,,760268.0,,42789.0,,79930.0,217.0,117550794.0,11668230.0,10074432.0,Asia,13.0,4598.0,0.0,,,4247.0
56.0,Tunisia,780746,,25777.0,,703514.0,,51455.0,118.0,65013.0,2146.0,3636279.0,302794.0,12009091.0,Africa,15.0,466.0,3.0,,,4285.0
57.0,Bolivia,749070,,20238.0,,590186.0,,138646.0,220.0,62851.0,1698.0,2653186.0,222616.0,11918209.0,South America,16.0,589.0,4.0,,,11633.0
58.0,Belarus,715643,,5824.0,,708700.0,,1119.0,,75773.0,617.0,11339787.0,1200672.0,9444533.0,Europe,13.0,1622.0,1.0,,,118.0
59.0,S. Korea,696032,3858.0,6333.0,23.0,584537.0,+1870,105162.0,579.0,13558.0,123.0,15804065.0,307848.0,51337177.0,Asia,74.0,8106.0,3.0,75.0,0.4,2048.0
60.0,Guatemala,653171,,16176.0,,612914.0,,24081.0,5.0,35449.0,878.0,3420999.0,185665.0,18425672.0,North America,28.0,1139.0,5.0,,,1307.0
61.0,Azerbaijan,625726,,8521.0,,608514.0,,8691.0,,60869.0,829.0,6006500.0,584293.0,10279949.0,Asia,16.0,1206.0,2.0,,,845.0
62.0,Saudi Arabia,615430,,8906.0,,564947.0,,41577.0,336.0,17264.0,250.0,35353849.0,991732.0,35648604.0,Asia,58.0,4003.0,1.0,,,1166.0
