#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,118623539,,1559934.0,,114116984.0,3063.0,2946621.0,7929.0,,,,,,North America,,,,,,
,Asia,196821641,154288.0,1494115.0,220.0,188996434.0,60060.0,6331092.0,9337.0,,,,,,Asia,,,,,,
,Europe,236405801,,1953710.0,,230778161.0,93334.0,3673930.0,7614.0,,,,,,Europe,,,,,,
,South America,64708745,,1334323.0,,63019696.0,1739.0,354726.0,10118.0,,,,,,South America,,,,,,
,Oceania,12838444,10929.0,21984.0,14.0,12533189.0,,283271.0,116.0,,,,,,Australia/Oceania,,,,,,
,Africa,12693549,,257984.0,,12010863.0,,424702.0,844.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,642092440,165217.0,6622065.0,234.0,621456033.0,158196.0,14014342.0,35958.0,82374.0,849.5,,,,All,,,,,,
1.0,USA,100108704,,1101843.0,,97662262.0,,1344599.0,2747.0,299006.0,3291.0,1135660710.0,3392004.0,334805269.0,North America,3.0,304.0,0.0,,,4016.0
2.0,India,44668951,,530553.0,,44130380.0,,8018.0,698.0,31756.0,377.0,903356300.0,642212.0,1406631776.0,Asia,31.0,2651.0,2.0,,,6.0
3.0,France,37250370,,158089.0,,36612349.0,,479932.0,869.0,567975.0,2410.0,271490188.0,4139547.0,65584518.0,Europe,2.0,415.0,0.0,,,7318.0
4.0,Germany,36180077,,156410.0,,35331200.0,58200.0,692467.0,1406.0,431313.0,1865.0,122332384.0,1458359.0,83883596.0,Europe,2.0,536.0,1.0,,,8255.0
5.0,Brazil,35009176,,688886.0,,34162530.0,,157760.0,8318.0,162566.0,3199.0,63776166.0,296146.0,215353593.0,South America,6.0,313.0,3.0,,,733.0
6.0,S. Korea,26462319,49418.0,29925.0,63.0,25527447.0,18443.0,904947.0,365.0,515534.0,583.0,15804065.0,307892.0,51329899.0,Asia,2.0,1715.0,3.0,963.0,1.0,17630.0
7.0,UK,23954192,,195530.0,,23679684.0,6266.0,78978.0,146.0,349707.0,2855.0,522526476.0,7628357.0,68497907.0,Europe,3.0,350.0,0.0,,,1153.0
8.0,Italy,23823192,,179985.0,,23224653.0,,418554.0,203.0,395322.0,2987.0,254586854.0,4224613.0,60262770.0,Europe,3.0,335.0,0.0,,,6945.0
9.0,Japan,23604176,84375.0,48058.0,99.0,20593558.0,8145.0,2962560.0,260.0,187954.0,383.0,79720829.0,634797.0,125584838.0,Asia,5.0,2613.0,2.0,672.0,0.8,23590.0
10.0,Russia,21520021,,391273.0,,20925972.0,,202776.0,2300.0,147594.0,2684.0,273400000.0,1875095.0,145805947.0,Europe,7.0,373.0,1.0,,,1391.0
11.0,Turkey,16976729,,101327.0,,16875402.0,,0.0,,198414.0,1184.0,162743369.0,1902052.0,85561976.0,Asia,5.0,844.0,1.0,,,
12.0,Spain,13551539,,115357.0,,13335434.0,,100748.0,339.0,290064.0,2469.0,471036328.0,10082298.0,46719142.0,Europe,3.0,405.0,0.0,,,2156.0
13.0,Vietnam,11510484,,43167.0,,10606460.0,,860857.0,62.0,116322.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2292.0,1.0,,,8700.0
14.0,Australia,10552678,10925.0,15967.0,14.0,10364130.0,,172581.0,61.0,404801.0,612.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1633.0,0.0,419.0,0.5,6620.0
15.0,Argentina,9721718,,130011.0,,9587535.0,,4172.0,236.0,211295.0,2826.0,35716069.0,776264.0,46010234.0,South America,5.0,354.0,1.0,,,91.0
16.0,Netherlands,8531447,,22885.0,,8464818.0,3967.0,43744.0,44.0,495684.0,1330.0,25984435.0,1509718.0,17211447.0,Europe,2.0,752.0,1.0,,,2542.0
17.0,Taiwan,8130231,18003.0,13848.0,58.0,7644773.0,32427.0,471610.0,,340339.0,580.0,28269121.0,1183373.0,23888595.0,Asia,3.0,1725.0,1.0,754.0,2.0,19742.0
18.0,Iran,7559164,,144617.0,,7334477.0,,80070.0,86.0,87874.0,1681.0,54420785.0,632632.0,86022837.0,Asia,11.0,595.0,2.0,,,931.0
19.0,Mexico,7118933,,330444.0,,6390444.0,,398045.0,4798.0,54111.0,2512.0,18675146.0,141949.0,131562772.0,North America,18.0,398.0,7.0,,,3026.0
20.0,Indonesia,6590113,,159291.0,,6370351.0,,60471.0,2771.0,23609.0,571.0,111582012.0,399743.0,279134505.0,Asia,42.0,1752.0,3.0,,,217.0
21.0,Poland,6348022,,118252.0,,5335940.0,,893830.0,1530.0,168205.0,3133.0,37729496.0,999727.0,37739785.0,Europe,6.0,319.0,1.0,,,23684.0
22.0,Colombia,6312657,,141881.0,,6139728.0,,31048.0,342.0,122545.0,2754.0,36831583.0,714999.0,51512762.0,South America,8.0,363.0,1.0,,,603.0
23.0,Portugal,5532964,,25365.0,,5487169.0,1126.0,20430.0,61.0,545627.0,2501.0,45059939.0,4443531.0,10140570.0,Europe,2.0,400.0,0.0,,,2015.0
24.0,Austria,5506697,,21124.0,,5446974.0,,38599.0,47.0,607353.0,2330.0,201918373.0,22270302.0,9066710.0,Europe,2.0,429.0,0.0,,,4257.0
25.0,Ukraine,5329536,,110403.0,,5190531.0,2340.0,28602.0,,123391.0,2556.0,32603805.0,754855.0,43192122.0,Europe,8.0,391.0,1.0,,,662.0
26.0,Greece,5306482,,34024.0,,5207492.0,8635.0,64966.0,115.0,514362.0,3298.0,98962476.0,9592513.0,10316637.0,Europe,2.0,303.0,0.0,,,6297.0
27.0,Malaysia,4960179,,36583.0,,4895719.0,,27877.0,89.0,149488.0,1103.0,66009647.0,1989377.0,33181072.0,Asia,7.0,907.0,1.0,,,840.0
28.0,Chile,4859241,,62102.0,,4782415.0,,14724.0,143.0,252426.0,3226.0,46696709.0,2425778.0,19250195.0,South America,4.0,310.0,0.0,,,765.0
29.0,DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3.0,,,25990679.0,Asia,5.0,351225.0,,,,
30.0,Israel,4701945,,11810.0,,4680828.0,,9307.0,36.0,504176.0,1266.0,41373364.0,4436346.0,9326000.0,Asia,2.0,790.0,0.0,,,998.0
31.0,Thailand,4698373,,33037.0,,4649509.0,,15827.0,1496.0,67045.0,471.0,17270775.0,246450.0,70078203.0,Asia,15.0,2121.0,4.0,,,226.0
32.0,Belgium,4627186,,33021.0,,4566717.0,5379.0,27448.0,57.0,396561.0,2830.0,36044419.0,3089095.0,11668278.0,Europe,3.0,353.0,0.0,,,2352.0
