,date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled,total_cases_worldometer,total_recovered_worldometer,active_cases_worldometer,N,S,I,R,S_modelled,I_modelled,R_modelled,r_eff_modelled,r_eff_actual,S_modelled_with_lockdown,I_modelled_with_lockdown,R_modelled_with_lockdown,r_eff_modelled_with_lockdown,r_eff_actual_with_lockdown,S_modelled_with_lockdown_with_vaccination,I_modelled_with_lockdown_with_vaccination,R_modelled_with_lockdown_with_vaccination,r_eff_modelled_with_lockdown_with_vaccination,r_eff_actual_with_lockdown_with_vaccination,nu_varying_with_time,S_modelled_with_lockdown_with_vaccination_time_varying_nu,I_modelled_with_lockdown_with_vaccination_time_varying_nu,R_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_actual_with_lockdown_with_vaccination_time_varying_nu,gdp_min_max_normalized,gdp_normalized_modelled_min_max_normalized
0,2020-05-01,96.3,35043.0,1147.0,0.0,1417173120.0,7668.0,83.9054327862878,88.26440956769662,35043,9068.0,24821.0,1417173120.0,1417121341.0,25975.0,16736.0,1417121341.0,25976.0,16736.0,1.7620174108982267,1.7620174108982267,1417121341.0,25975.0,16736.0,4.450462618632755,4.450462618632755,1417121341.0,25975.0,16736.0,4.446699854866194,4.446699854866194,0.0,1417121341.0,25975.0,16736.0,4.033602239695112,4.033602239695112,-0.15346108528772026,0.1346416955433275
1,2020-05-02,96.3,37336.0,1218.0,0.0,1417173120.0,7668.0,84.04130698838114,88.26440956769662,37257,10007.0,26027.0,1417173120.0,1417118188.0,27250.0,17675.0,1417120237.8377748,26453.082909913923,17362.079315824798,1.7620160392506536,1.7620134905275882,1417120969.470581,24090.283759241902,18992.245659858392,4.450461451846437,4.450452716651724,1417079804.3779523,24053.905758391233,60193.71628880931,4.446569519597161,4.446689961257061,0.0,1417120873.7718663,23311.579962443175,19866.64817109447,4.033600909807267,4.033593265200484,-0.14448059802446,0.1346416955433275
2,2020-05-03,96.3,39980.0,1301.0,0.0,1417173120.0,7668.0,84.17718119047447,88.26440956769662,42505,11775.0,29339.0,1417173120.0,1417111172.0,30730.0,19443.0,1417119114.4151666,26938.927295958463,17999.657537704643,1.7620146424117678,1.762004766987975,1417120624.8989592,22342.320084957577,21084.78095614324,4.4504603697209495,4.450430682938147,1417038296.951757,22274.884159968802,103480.16408210312,4.446439275940038,4.4466679461724805,0.0,1417120454.452365,20921.260772487043,22676.28686278704,4.033599716283444,4.033573295313294,-0.13550011076119972,0.1346416955433275
3,2020-05-04,81.94,42533.0,1373.0,0.0,1417173120.0,7668.0,84.3130553925678,94.90443225742592,42670,11782.0,29493.0,1417173120.0,1417111000.0,30888.0,19450.0,1417117970.360361,27433.693928846238,18648.94571035644,1.7620132199192626,1.7620045531269697,1417120305.3289077,20721.18650978075,23025.484582993922,4.450459366112771,4.450430142772991,1416996816.6495054,20627.429634663262,146607.92085943336,4.446309117393508,4.446667406464021,0.0,1417120078.128969,18776.04095760397,25197.83007344626,4.0335986451409465,4.033572805743654,-0.12651962349793944,0.5735082226263155
4,2020-05-05,81.94,46433.0,1568.0,0.0,1417173120.0,7668.0,84.44892959466115,94.90443225742592,49400,14142.0,33565.0,1417173120.0,1417101910.0,35258.0,21810.0,1417116805.2945924,27937.54658387874,19310.15882423172,1.7620117713021897,1.761993250821513,1417118816.7055736,20357.717882778397,24877.5765442666,4.450454691098494,4.450401595672588,1416954152.3578863,20257.055955734162,189642.58615767694,4.446175243677925,4.446638883499537,0.0,1417118368.519793,18138.79288525734,27544.687321811893,4.03359377902031,4.033546932557429,-0.11753913623467821,0.5735082226263155
5,2020-05-06,81.94,49391.0,1694.0,0.0,1417173120.0,7668.0,84.58480379675449,94.90443225742592,52987,15331.0,35871.0,1417173120.0,1417097134.0,37656.0,22999.0,1417115618.8320708,28450.652072485198,19983.515857005572,1.762010296080866,1.761987312448481,1417117354.1953366,20000.62359205458,26697.18107184263,4.450450098092269,4.450386596668021,1416911516.4569697,19893.2882636613,232642.25476631545,4.446041459047822,4.4466238971762815,0.0,1417116716.9358244,17523.1707232608,29811.89345258326,4.03358907805886,4.033533338460905,-0.10855864897141793,0.5735082226263155
6,2020-05-07,81.94,52952.0,1783.0,0.0,1417173120.0,7668.0,84.72067799884782,94.90443225742592,53045,15331.0,35927.0,1417173120.0,1417097076.0,37714.0,22999.0,1417114410.5797527,28973.180342479875,20669.23990531907,1.7620087937665898,1.7619872403325605,1417115917.340486,19649.791628319294,28484.867886277512,4.450445585656661,4.450386414519306,1416868908.4607892,19536.00956224299,275607.5296482735,4.445907761978311,4.446623715181569,0.0,1417115121.4077568,16928.440693474142,32002.1515501063,4.033584536651288,4.033533173373468,-0.09957816170815766,0.5735082226263155
7,2020-05-08,81.94,56342.0,1886.0,0.0,1417173120.0,7668.0,84.85655220094115,94.90443225742592,56516,16867.0,37754.0,1417173120.0,1417092069.0,39649.0,24535.0,1417113180.1376004,29505.304364441443,21367.558035632665,1.7620072638619637,1.761981014739225,1417114505.6910517,19305.11222025147,30241.196728581974,4.450441152378538,4.450370690060371,1416826327.8920004,19185.10491139844,318539.00308772863,4.445774150971564,4.446608004017303,0.0,1417113580.0331147,16353.893907600288,34118.07297764464,4.033580149382514,4.033518921773531,-0.09059767444489737,0.5735082226263155
8,2020-05-09,81.94,59662.0,1981.0,0.0,1417173120.0,7668.0,84.99242640303449,94.90443225742592,62808,19301.0,41406.0,1417173120.0,1417083343.0,43507.0,26969.0,1417111927.0981588,30047.200315696482,22078.701525911125,1.7620057058603669,1.761970165023338,1417113118.8049517,18966.477518468888,31966.717530442773,4.450436796869545,4.450343286100183,1416783774.281731,18840.461391495453,361437.25687704503,4.445640624556335,4.4465806232265335,0.0,1417112090.9739869,15798.845523063166,36162.18049018122,4.033575911021226,4.033494084653289,-0.08161718718163709,0.5735082226263155
9,2020-05-10,81.94,62939.0,2109.0,0.0,1417173120.0,7668.0,85.12830060512782,94.90443225742592,62939,19358.0,41472.0,1417173120.0,1417083155.0,43581.0,27026.0,1417110651.046476,30599.047614238803,22802.90591025008,1.7620041192458562,1.7619699312682853,1417111756.2478576,18633.781563173197,33661.970579661946,4.450432517765677,4.450342695687105,1416741247.1694295,18501.968068053626,404302.8625017045,4.445507181287486,4.446580033312636,0.0,1417110652.4548619,15262.633938978131,38136.91119918172,4.033571816513722,4.033493549542287,-0.07263669991837682,0.5735082226263155
10,2020-05-11,81.94,67152.0,2206.0,0.0,1417173120.0,7668.0,85.26417480722115,94.90443225742592,70768,22549.0,45925.0,1417173120.0,1417072135.0,48219.0,30217.0,1417109351.5599196,31161.028997869544,23540.41108291166,1.7620025034929414,1.7619562292434086,1417110417.5930572,18306.92025032611,35327.48669309242,4.450428313726844,4.450308087431172,1416698746.1027272,18169.51595867759,447136.38131343294,4.445373819745556,4.446545454317188,0.0,1417109262.760445,14744.619982661136,40044.61957229094,4.0335678609777,4.033462182929283,-0.06365621265511653,0.5735082226263155
