action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
1,-25.0,-10,20,-80.67204479390224,-95.67204479390224,91.3
6,-50.0,-10,20,-80.67198145902131,-120.67198145902131,100.0
6,-50.0,-10,20,-80.6719814589748,-120.67198145897481,100.0
3,0.0,-10,20,-80.6719814589748,-70.6719814589748,100.0
4,-12.5,-10,20,-80.6719814589748,-83.1719814589748,100.0
4,-12.5,-10,20,-80.6719814589748,-83.1719814589748,100.0
3,0.0,-10,20,-80.6719814589748,-70.6719814589748,100.0
0,-50.0,-10,20,-80.67198145897349,-120.6719814589735,90.0
3,0.0,-10,20,-80.6719501008037,-70.6719501008037,90.0
4,-12.5,-10,20,-80.67192103378707,-83.17192103378707,92.5
4,-12.5,-10,20,-80.67190095370611,-83.17190095370611,95.0
0,-50.0,-10,20,-80.67188878021918,-120.67188878021918,85.0
3,0.0,-10,20,-80.67185493909068,-70.67185493909068,85.0
4,-12.5,-10,20,-80.67182275564294,-83.17182275564294,87.5
1,-25.0,-10,20,-80.67179741129964,-95.67179741129964,82.5
0,-50.0,-10,20,-80.6717636709442,-120.67176367094419,72.5
3,0.0,-10,20,-80.67171127262348,-70.67171127262348,72.5
1,-25.0,-10,20,-80.67165814133338,-95.67165814133338,67.5
3,0.0,-10,20,-80.67159364626556,-70.67159364626556,67.5
3,0.0,-10,20,-80.67152655026234,-70.67152655026234,67.5
3,0.0,-10,20,-80.67145674844383,-70.67145674844383,67.5
2,-12.5,-10,20,-80.67138413170879,-83.17138413170879,65.0
6,-50.0,-10,20,-80.67130060553751,-120.67130060553751,75.0
6,-50.0,-10,20,-80.6712372555588,-120.6712372555588,85.0
6,-50.0,-10,20,-80.67119716037611,-120.6711971603761,95.0
0,-50.0,-10,20,-80.67117972065208,-120.67117972065208,85.0
1,-25.0,-10,20,-80.67114129164553,-95.67114129164553,80.0
2,-12.5,-10,20,-80.67109263019525,-83.17109263019525,77.5
6,-50.0,-10,20,-80.671038262277,-120.671038262277,87.5
0,-50.0,-10,20,-80.67100217587624,-120.67100217587625,77.5
1,-25.0,-10,20,-80.67094761283037,-95.67094761283037,72.5
2,-12.5,-10,20,-80.67088251500863,-83.17088251500863,70.0
1,-25.0,-10,20,-80.67081025993616,-95.67081025993616,65.0
5,-25.0,-10,20,-80.67072477635938,-95.67072477635938,70.0
0,-50.0,-10,20,-80.67064477788463,-120.67064477788463,60.0
0,-50.0,-10,20,-80.670539366951,-120.670539366951,50.0
1,-25.0,-10,20,-80.67040040843997,-95.67040040843997,45.0
2,-12.5,-10,20,-80.67022912784532,-83.17022912784532,42.5
4,-12.5,-10,20,-80.6700230406161,-83.1700230406161,45.0
5,-25.0,-10,20,-80.6697932527927,-95.6697932527927,50.0
5,-25.0,-10,20,-80.66955229275436,-95.66955229275436,55.0
3,0.0,-10,20,-80.66930740079819,-70.66930740079819,55.0
2,-12.5,-10,20,-80.66903354276555,-83.16903354276555,52.5
4,-12.5,-10,20,-80.6687118930349,-83.1687118930349,55.0
5,-25.0,-10,20,-80.66836850740387,-95.66836850740387,60.0
4,-12.5,-10,20,-80.66802716532861,-83.16802716532861,62.5
0,-50.0,-10,20,-80.66767801891528,-120.6676780189153,52.5
0,-50.0,-10,20,-80.66721172109455,-120.66721172109453,42.5
1,-25.0,-10,20,-80.6665816897631,-95.6665816897631,37.5
0,-50.0,-10,20,-80.66577747353789,-120.6657774735379,27.5
4,-12.5,-10,20,-80.6646445946899,-83.1646445946899,30.0
6,-50.0,-10,20,-80.66327021830548,-120.66327021830548,40.0
6,-50.0,-10,20,-80.66182267499534,-120.66182267499534,50.0
4,-12.5,-10,20,-80.66040674074053,-83.16040674074053,52.5
1,-25.0,-10,20,-80.65888778320719,-95.65888778320719,47.5
6,-50.0,-10,20,-80.65699896028465,-120.65699896028465,57.5
1,-25.0,-10,20,-80.65526580312215,-95.65526580312215,52.5
2,-12.5,-10,20,-80.65313984703607,-83.15313984703607,50.0
6,-50.0,-10,20,-80.65062741042682,-120.65062741042681,60.0
3,0.0,-10,20,-80.64837844035776,-70.64837844035776,60.0
2,-12.5,-10,20,-80.64595255938,-83.14595255938,57.5
1,-25.0,-10,20,-80.64316460400383,-95.64316460400383,52.5
6,-50.0,-10,20,-80.63971896192368,-120.63971896192368,62.5
3,0.0,-10,20,-80.6366932057226,-70.6366932057226,62.5
2,-12.5,-10,20,-80.63345262432782,-83.13345262432782,60.0
4,-12.5,-10,20,-80.62974746855907,-83.12974746855907,62.5
5,-25.0,-10,20,-80.62599385077311,-95.62599385077311,67.5
4,-12.5,-10,20,-80.62251822469685,-83.12251822469685,70.0
1,-25.0,-10,20,-80.61916402334279,-95.61916402334279,65.0
6,-50.0,-10,20,-80.61513737921494,-120.61513737921496,75.0
5,-25.0,-10,20,-80.61206680976538,-95.61206680976538,80.0
6,-50.0,-10,20,-80.60953663641757,-120.60953663641757,90.0
5,-25.0,-10,20,-80.60810055470517,-95.60810055470517,95.0
4,-12.5,-10,20,-80.6071900029497,-83.1071900029497,97.5
3,0.0,-10,20,-80.60651057188988,-70.60651057188988,97.5
5,-25.0,-10,20,-80.60582889730595,-95.60582889730595,100.0
4,-12.5,-10,20,-80.60530835629011,-83.10530835629011,100.0
6,-50.0,-10,20,-80.60476304323754,-120.60476304323754,100.0
2,-12.5,-10,20,-80.60419296432511,-83.10419296432511,97.5
4,-12.5,-10,20,-80.60348489422083,-83.10348489422083,100.0
0,-50.0,-10,20,-80.60286527956977,-120.60286527956976,90.0
0,-50.0,-10,20,-80.60185839545254,-120.60185839545255,80.0
0,-50.0,-10,20,-80.6005287190358,-120.6005287190358,70.0
4,-12.5,-10,20,-80.59885742216,-83.09885742216,72.5
0,-50.0,-10,20,-80.59725707650314,-120.59725707650313,62.5
5,-25.0,-10,20,-80.59525552896082,-95.59525552896082,67.5
4,-12.5,-10,20,-80.59337747967265,-83.09337747967265,70.0
3,0.0,-10,20,-80.59156114499157,-70.59156114499157,70.0
3,0.0,-10,20,-80.58971664723359,-70.58971664723359,70.0
2,-12.5,-10,20,-80.58784312424903,-83.08784312424903,67.5
3,0.0,-10,20,-80.58582271424379,-70.58582271424379,67.5
6,-50.0,-10,20,-80.58374965342409,-120.58374965342409,77.5
6,-50.0,-10,20,-80.58211851131219,-120.58211851131219,87.5
2,-12.5,-10,20,-80.58097047091282,-83.08097047091282,85.0
1,-25.0,-10,20,-80.57975264197569,-95.57975264197569,80.0
2,-12.5,-10,20,-80.57836110664252,-83.07836110664252,77.5
3,0.0,-10,20,-80.57688958481782,-70.57688958481782,77.5
6,-50.0,-10,20,-80.57543256066113,-120.57543256066111,87.5
1,-25.0,-10,20,-80.57438698942349,-95.57438698942349,82.5
5,-25.0,-10,20,-80.5731900603854,-95.5731900603854,87.5
4,-12.5,-10,20,-80.57219739874373,-83.07219739874373,90.0
5,-25.0,-10,20,-80.5713163451638,-95.5713163451638,95.0
1,-25.0,-10,20,-80.57063523413385,-95.57063523413385,90.0
2,-12.5,-10,20,-80.56986212733989,-83.06986212733989,87.5
1,-25.0,-10,20,-80.56907325600228,-95.56907325600228,82.5
4,-12.5,-10,20,-80.56821025845392,-83.06821025845392,85.0
2,-12.5,-10,20,-80.56744940691375,-83.06744940691375,82.5
6,-50.0,-10,20,-80.56667746824262,-120.56667746824263,92.5
4,-12.5,-10,20,-80.56615893279728,-83.06615893279728,95.0
4,-12.5,-10,20,-80.56572834241203,-83.06572834241203,97.5
1,-25.0,-10,20,-80.5653766439454,-95.5653766439454,92.5
5,-25.0,-10,20,-80.56498260712841,-95.56498260712841,97.5
4,-12.5,-10,20,-80.56469493859106,-83.06469493859106,100.0
5,-25.0,-10,20,-80.56446917733504,-95.56446917733504,100.0
1,-25.0,-10,20,-80.564271634904,-95.564271634904,95.0
1,-25.0,-10,20,-80.56405542450707,-95.56405542450707,90.0
5,-25.0,-10,20,-80.56382852572622,-95.56382852572622,95.0
3,0.0,-10,20,-80.56367638233,-70.56367638233,95.0
6,-50.0,-10,20,-80.56355625042286,-120.56355625042286,100.0
1,-25.0,-10,20,-80.5634998104814,-95.5634998104814,95.0
0,-50.0,-10,20,-80.56344337065808,-120.56344337065809,85.0
5,-25.0,-10,20,-80.56336492749179,-95.56336492749179,90.0
0,-50.0,-10,20,-80.56331582494458,-120.5633158249446,80.0
6,-50.0,-10,20,-80.56322246034198,-120.56322246034199,90.0
5,-25.0,-10,20,-80.56317805977505,-95.56317805977505,95.0
6,-50.0,-10,20,-80.56315774093774,-120.56315774093775,100.0
5,-25.0,-10,20,-80.56315774092292,-95.56315774092292,100.0
5,-25.0,-10,20,-80.56315774092292,-95.56315774092292,100.0
5,-25.0,-10,20,-80.56315774092292,-95.56315774092292,100.0
3,0.0,-10,20,-80.56315774092292,-70.56315774092292,100.0
5,-25.0,-10,20,-80.56315774092292,-95.56315774092292,100.0
6,-50.0,-10,20,-80.56315774092292,-120.56315774092292,100.0
1,-25.0,-10,20,-80.56315774092172,-95.56315774092172,95.0
3,0.0,-10,20,-80.56315020365463,-70.56315020365463,95.0
4,-12.5,-10,20,-80.5631433942183,-83.0631433942183,97.5
0,-50.0,-10,20,-80.56314033754776,-120.56314033754776,87.5
6,-50.0,-10,20,-80.56312635740655,-120.56312635740653,97.5
1,-25.0,-10,20,-80.5631237978508,-95.5631237978508,92.5
3,0.0,-10,20,-80.5631168621769,-70.5631168621769,92.5
2,-12.5,-10,20,-80.56311051548846,-83.06311051548846,90.0
