action,reward_inertia,reward_I_percentage,reward_weigthed,reward,stringency_index
1,-60.0,50,63.32460108590098,53.32460108590098,91.3
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
5,-60.0,50,-4.47650657303715,-14.476506573037156,100.0
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
4,-30.0,50,-4.47650657303715,15.523493426962851,100.0
1,-60.0,50,37.040571148759014,27.040571148759014,95.0
2,-30.0,50,55.19596868234138,75.19596868234137,92.5
3,0.0,50,55.19596868234138,105.19596868234137,92.5
5,-60.0,50,17.17439257470378,7.174392574703781,97.5
0,-120.0,50,86.67017876093578,16.670178760935784,87.5
6,-120.0,50,17.17439257470378,-52.825607425296226,97.5
5,-60.0,50,-4.47650657303715,-14.476506573037156,100.0
4,-30.0,50,-4.47650657303715,15.523493426962851,100.0
3,0.0,50,-4.47650657303715,45.52349342696285,100.0
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
4,-30.0,50,-4.47650657303715,15.523493426962851,100.0
1,-60.0,50,37.040571148759014,27.040571148759014,95.0
1,-60.0,50,71.71452470866282,61.71452470866282,90.0
2,-30.0,50,86.67017876093578,106.67017876093578,87.5
0,-120.0,50,132.34256589379066,62.34256589379066,77.5
1,-60.0,50,147.7237754794489,137.7237754794489,72.5
2,-30.0,50,153.8094226433288,173.8094226433288,70.0
3,0.0,50,153.8094226433288,203.8094226433288,70.0
3,0.0,50,153.8094226433288,203.8094226433288,70.0
4,-30.0,50,147.7237754794489,167.7237754794489,72.5
2,-30.0,50,153.8094226433288,173.8094226433288,70.0
5,-60.0,50,140.59280307400698,130.59280307400698,75.0
5,-60.0,50,122.89912440558774,112.89912440558774,80.0
2,-30.0,50,132.34256589379066,152.34256589379066,77.5
3,0.0,50,132.34256589379066,182.34256589379066,77.5
5,-60.0,50,112.18853907618605,102.18853907618605,82.5
1,-60.0,50,132.34256589379066,122.34256589379066,77.5
5,-60.0,50,112.18853907618605,102.18853907618605,82.5
5,-60.0,50,86.67017876093578,76.67017876093578,87.5
5,-60.0,50,55.19596868234138,45.19596868234138,92.5
0,-120.0,50,112.18853907618605,42.188539076186046,82.5
5,-60.0,50,86.67017876093578,76.67017876093578,87.5
5,-60.0,50,55.19596868234138,45.19596868234138,92.5
3,0.0,50,55.19596868234138,105.19596868234137,92.5
5,-60.0,50,17.17439257470378,7.174392574703781,97.5
0,-120.0,50,86.67017876093578,16.670178760935784,87.5
4,-30.0,50,71.71452470866282,91.71452470866282,90.0
4,-30.0,50,55.19596868234138,75.19596868234137,92.5
0,-120.0,50,112.18853907618605,42.188539076186046,82.5
1,-60.0,50,132.34256589379066,122.34256589379066,77.5
4,-30.0,50,122.89912440558774,142.89912440558774,80.0
3,0.0,50,122.89912440558774,172.89912440558774,80.0
2,-30.0,50,132.34256589379066,152.34256589379066,77.5
3,0.0,50,132.34256589379066,182.34256589379066,77.5
0,-120.0,50,79.46184204942963,9.461842049429634,67.5
0,-120.0,50,-34.54940044888191,-104.5494004488819,57.5
4,-30.0,50,-32.517033324301195,-12.517033324301195,60.0
1,-60.0,50,-36.58159721993875,-46.58159721993874,55.0
5,-60.0,50,-32.51691094872201,-42.516910948722,60.0
5,-60.0,50,81.57024968962622,71.57024968962622,65.0
1,-60.0,50,-32.516760171454465,-42.516760171454465,60.0
0,-120.0,50,-40.64584548239197,-110.64584548239196,50.0
3,0.0,50,-40.645730488557064,9.354269511442936,50.0
6,-120.0,50,-32.51648191902441,-102.51648191902441,60.0
5,-60.0,50,81.57024968962622,71.57024968962622,65.0
4,-30.0,50,79.46184204942963,99.46184204942963,67.5
4,-30.0,50,153.8094226433288,173.8094226433288,70.0
2,-30.0,50,79.46184204942963,99.46184204942963,67.5
5,-60.0,50,147.7237754794489,137.7237754794489,72.5
1,-60.0,50,79.46184204942963,69.46184204942963,67.5
4,-30.0,50,153.8094226433288,173.8094226433288,70.0
2,-30.0,50,79.46184204942963,99.46184204942963,67.5
4,-30.0,50,153.8094226433288,173.8094226433288,70.0
3,0.0,50,153.8094226433288,203.8094226433288,70.0
5,-60.0,50,140.59280307400698,130.59280307400698,75.0
0,-120.0,50,81.57024968962622,11.570249689626223,65.0
4,-30.0,50,79.46184204942963,99.46184204942963,67.5
1,-60.0,50,-30.482455951246706,-40.482455951246706,62.5
1,-60.0,50,-34.54661440645737,-44.546614406457365,57.5
3,0.0,50,-34.5464380719887,15.453561928011297,57.5
3,0.0,50,-34.54625335461154,15.453746645388463,57.5
5,-60.0,50,-30.481820292386374,-40.481820292386374,62.5
3,0.0,50,-30.48164136739554,19.51835863260446,62.5
1,-60.0,50,-34.54564965159669,-44.54564965159669,57.5
6,-120.0,50,79.46184204942963,9.461842049429634,67.5
2,-30.0,50,81.57024968962622,101.57024968962622,65.0
4,-30.0,50,79.46184204942963,99.46184204942963,67.5
0,-120.0,50,-34.5446917631226,-104.54469176312261,57.5
3,0.0,50,-34.54442834187648,15.455571658123517,57.5
4,-30.0,50,-32.512132269224,-12.512132269223997,60.0
3,0.0,50,-32.51184804555247,17.48815195444753,60.0
3,0.0,50,-32.511553872294165,17.488446127705835,60.0
3,0.0,50,-32.51124659074009,17.488753409259907,60.0
3,0.0,50,-32.5109259029889,17.4890740970111,60.0
0,-120.0,50,-40.6382393614723,-110.6382393614723,50.0
2,-30.0,50,-42.66969394522058,-22.669693945220587,47.5
3,0.0,50,-42.66918889125815,7.330811108741848,47.5
1,-60.0,50,-46.732335263041065,-56.732335263041065,42.5
5,-60.0,50,-42.66809227056268,-52.66809227056268,47.5
4,-30.0,50,-40.635694349490805,-20.635694349490805,50.0
3,0.0,50,-40.6350945994247,9.364905400575303,50.0
6,-120.0,50,-32.507578083605544,-102.50757808360555,60.0
0,-120.0,50,-40.63381558322618,-110.63381558322618,50.0
3,0.0,50,-40.63318647991922,9.366813520080782,50.0
1,-60.0,50,-44.69570953896897,-54.69570953896897,45.0
1,-60.0,50,-48.758033013206976,-58.75803301320698,40.0
3,0.0,50,-48.75699292647252,1.2430070735274796,40.0
6,-120.0,50,-40.62983102173117,-110.62983102173118,50.0
5,-60.0,50,-36.56585295308322,-46.56585295308322,55.0
0,-120.0,50,-44.690408016472404,-114.69040801647242,45.0
5,-60.0,50,-40.62655668124775,-50.62655668124775,50.0
5,-60.0,50,-36.56269500493147,-46.56269500493147,55.0
6,-120.0,50,81.57024968962622,11.570249689626223,65.0
4,-30.0,50,79.46184204942963,99.46184204942963,67.5
2,-30.0,50,81.57024968962622,101.57024968962622,65.0
1,-60.0,50,-32.49613009124252,-42.49613009124252,60.0
0,-120.0,50,-40.618925031204526,-110.61892503120453,50.0
4,-30.0,50,-38.58663910375859,-18.586639103758586,52.5
4,-30.0,50,-36.554153900372654,-16.554153900372654,55.0
1,-60.0,50,-40.61385952879562,-50.613859528795615,50.0
0,-120.0,50,-48.73431738116025,-118.73431738116025,40.0
0,-120.0,50,-56.853495834126335,-126.85349583412633,30.0
3,0.0,50,-56.84925691786644,-6.849256917866441,30.0
1,-60.0,50,-60.9037420623128,-70.9037420623128,25.0
4,-30.0,50,-58.8663763038895,-38.866376303889496,27.5
5,-60.0,50,-54.79776528513848,-64.79776528513848,32.5
1,-60.0,50,-58.84542598747049,-68.84542598747049,27.5
4,-30.0,50,-56.80365925925473,-36.80365925925473,30.0
5,-60.0,50,-52.73085752688364,-62.73085752688364,35.0
6,-120.0,50,-44.6028862008092,-114.6028862008092,45.0
3,0.0,50,-44.58536216209632,5.414637837903683,45.0
1,-60.0,50,-48.61954789292469,-58.619547892924686,40.0
