action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
2,-12.5,-10,20,-80.67204479390224,-83.17204479390224,93.8
1,-25.0,-10,20,-80.67199994289213,-95.67199994289213,88.8
3,0.0,-10,20,-80.67192535372564,-70.67192535372564,88.8
3,0.0,-10,20,-80.67185578749906,-70.67185578749906,88.8
4,-12.5,-10,20,-80.67179090597944,-83.17179090597944,91.3
1,-25.0,-10,20,-80.67174419747181,-95.67174419747181,86.3
3,0.0,-10,20,-80.67167560837916,-70.67167560837916,86.3
3,0.0,-10,20,-80.67161081257748,-70.67161081257748,86.3
1,-25.0,-10,20,-80.67154960032269,-95.67154960032269,81.3
0,-50.0,-10,20,-80.67146965762583,-120.67146965762583,71.3
1,-25.0,-10,20,-80.6713476529758,-95.6713476529758,66.3
6,-50.0,-10,20,-80.67119959617352,-120.67119959617352,76.3
6,-50.0,-10,20,-80.67109337426336,-120.67109337426336,86.3
3,0.0,-10,20,-80.67103385279411,-70.67103385279411,86.3
5,-25.0,-10,20,-80.67097762320753,-95.67097762320753,91.3
6,-50.0,-10,20,-80.67094431502406,-120.67094431502406,100.0
2,-12.5,-10,20,-80.67094431500291,-83.17094431500291,97.5
1,-25.0,-10,20,-80.67093667475426,-95.67093667475426,92.5
0,-50.0,-10,20,-80.67091597111104,-120.67091597111104,82.5
4,-12.5,-10,20,-80.67087062665911,-83.17087062665911,85.0
5,-25.0,-10,20,-80.67083342436817,-95.67083342436817,90.0
3,0.0,-10,20,-80.67081013508917,-70.67081013508917,90.0
1,-25.0,-10,20,-80.67078690491157,-95.67078690491157,85.0
4,-12.5,-10,20,-80.67075322107081,-83.17075322107081,87.5
1,-25.0,-10,20,-80.6707243545718,-95.6707243545718,82.5
5,-25.0,-10,20,-80.67068591518225,-95.67068591518225,87.5
3,0.0,-10,20,-80.67065605148349,-70.67065605148349,87.5
5,-25.0,-10,20,-80.67062586833691,-95.67062586833691,92.5
4,-12.5,-10,20,-80.67060306309332,-83.17060306309332,95.0
4,-12.5,-10,20,-80.67058306770129,-83.17058306770129,97.5
2,-12.5,-10,20,-80.67056520767298,-83.17056520767298,95.0
1,-25.0,-10,20,-80.6705432581485,-95.6705432581485,90.0
4,-12.5,-10,20,-80.67051508153335,-83.17051508153335,92.5
4,-12.5,-10,20,-80.67048838783968,-83.17048838783968,95.0
5,-25.0,-10,20,-80.67046280135347,-95.67046280135347,100.0
6,-50.0,-10,20,-80.67043980595777,-120.67043980595776,100.0
0,-50.0,-10,20,-80.67041516808303,-120.67041516808303,90.0
4,-12.5,-10,20,-80.6703828802364,-83.1703828802364,92.5
5,-25.0,-10,20,-80.67035080725736,-95.67035080725736,97.5
6,-50.0,-10,20,-80.6703199917371,-120.6703199917371,100.0
5,-25.0,-10,20,-80.67028878376442,-95.67028878376442,100.0
5,-25.0,-10,20,-80.6702559333014,-95.6702559333014,100.0
5,-25.0,-10,20,-80.67021727204914,-95.67021727204914,100.0
3,0.0,-10,20,-80.67017280017518,-70.67017280017518,100.0
5,-25.0,-10,20,-80.67012251750401,-95.67012251750401,100.0
5,-25.0,-10,20,-80.67006642437408,-95.67006642437408,100.0
5,-25.0,-10,20,-80.67000452035094,-95.67000452035094,100.0
2,-12.5,-10,20,-80.66993680556936,-83.16993680556936,97.5
4,-12.5,-10,20,-80.66986287697425,-83.16986287697425,100.0
4,-12.5,-10,20,-80.66978354084974,-83.16978354084974,100.0
3,0.0,-10,20,-80.66969839409262,-70.66969839409262,100.0
3,0.0,-10,20,-80.66960743649963,-70.66960743649963,100.0
1,-25.0,-10,20,-80.6695106685204,-95.6695106685204,95.0
3,0.0,-10,20,-80.6694076547511,-70.6694076547511,95.0
5,-25.0,-10,20,-80.66929887244392,-95.66929887244392,100.0
6,-50.0,-10,20,-80.66918467277092,-120.66918467277094,100.0
3,0.0,-10,20,-80.66906466259465,-70.66906466259465,100.0
6,-50.0,-10,20,-80.66893884188588,-120.66893884188588,100.0
0,-50.0,-10,20,-80.66880721075526,-120.66880721075526,90.0
3,0.0,-10,20,-80.66866933656286,-70.66866933656286,90.0
4,-12.5,-10,20,-80.66852568391121,-83.16852568391121,92.5
0,-50.0,-10,20,-80.66837634454782,-120.66837634454782,82.5
6,-50.0,-10,20,-80.66820188352446,-120.66820188352446,92.5
3,0.0,-10,20,-80.66800299319715,-70.66800299319715,92.5
3,0.0,-10,20,-80.66777933200393,-70.66777933200393,92.5
4,-12.5,-10,20,-80.66753089837691,-83.16753089837691,95.0
5,-25.0,-10,20,-80.66725775410279,-95.66725775410279,100.0
6,-50.0,-10,20,-80.66695994280244,-120.66695994280244,100.0
1,-25.0,-10,20,-80.66663734098589,-95.66663734098589,95.0
6,-50.0,-10,20,-80.66628986189332,-120.66628986189332,100.0
0,-50.0,-10,20,-80.66591767961923,-120.66591767961921,90.0
4,-12.5,-10,20,-80.66552056766353,-83.16552056766353,92.5
1,-25.0,-10,20,-80.66509870969098,-95.66509870969098,87.5
4,-12.5,-10,20,-80.66465201012237,-83.16465201012237,90.0
6,-50.0,-10,20,-80.66418055989224,-120.66418055989226,100.0
2,-12.5,-10,20,-80.66368443304198,-83.16368443304198,97.5
0,-50.0,-10,20,-80.66316349628197,-120.66316349628198,87.5
3,0.0,-10,20,-80.66261769256462,-70.66261769256462,87.5
6,-50.0,-10,20,-80.66204710885033,-120.66204710885035,97.5
3,0.0,-10,20,-80.66145181601983,-70.66145181601983,97.5
3,0.0,-10,20,-80.66083174023663,-70.66083174023663,97.5
5,-25.0,-10,20,-80.66018688148648,-95.66018688148648,100.0
6,-50.0,-10,20,-80.65954603016158,-120.65954603016158,100.0
4,-12.5,-10,20,-80.6589091722708,-83.1589091722708,100.0
4,-12.5,-10,20,-80.65827630719362,-83.15827630719362,100.0
1,-25.0,-10,20,-80.65764743461294,-95.65764743461294,95.0
4,-12.5,-10,20,-80.65702254068978,-83.15702254068978,97.5
3,0.0,-10,20,-80.65640164821936,-70.65640164821936,97.5
1,-25.0,-10,20,-80.65578474872461,-95.65578474872461,92.5
5,-25.0,-10,20,-80.65517183207753,-95.65517183207753,97.5
2,-12.5,-10,20,-80.65456291953609,-83.15456291953609,95.0
1,-25.0,-10,20,-80.6539579956592,-95.6539579956592,90.0
4,-12.5,-10,20,-80.65335705694466,-83.15335705694466,92.5
6,-50.0,-10,20,-80.65276011561652,-120.6527601156165,100.0
0,-50.0,-10,20,-80.65216717779816,-120.65216717779816,90.0
3,0.0,-10,20,-80.65157822029363,-70.65157822029363,90.0
3,0.0,-10,20,-80.65099325574855,-70.65099325574855,90.0
5,-25.0,-10,20,-80.65041228393648,-95.65041228393648,95.0
1,-25.0,-10,20,-80.64983530975385,-95.64983530975385,90.0
4,-12.5,-10,20,-80.64926232351688,-83.14926232351688,92.5
0,-50.0,-10,20,-80.64869333175264,-120.64869333175264,82.5
1,-25.0,-10,20,-80.64812832455806,-95.64812832455806,77.5
4,-12.5,-10,20,-80.6475915673837,-83.1475915673837,80.0
5,-25.0,-10,20,-80.64708306506341,-95.64708306506341,85.0
4,-12.5,-10,20,-80.64660281906468,-83.14660281906468,87.5
3,0.0,-10,20,-80.64615082710894,-70.64615082710894,87.5
2,-12.5,-10,20,-80.64572708558336,-83.14572708558336,85.0
1,-25.0,-10,20,-80.64533159504515,-95.64533159504515,80.0
3,0.0,-10,20,-80.64496435259358,-70.64496435259358,80.0
5,-25.0,-10,20,-80.64462536040733,-95.64462536040733,85.0
5,-25.0,-10,20,-80.64431462099328,-95.64431462099328,90.0
3,0.0,-10,20,-80.64403213407813,-70.64403213407813,90.0
