action,reward_inertia,reward_I_percentage,reward_weigthed,reward,stringency_index
2,-30.0,50,45.964115129548865,65.96411512954887,93.8
1,-60.0,50,79.08373651093432,69.08373651093432,88.8
1,-60.0,50,106.0937138998938,96.0937138998938,83.8
3,0.0,50,106.0937138998938,156.0937138998938,83.8
0,-120.0,50,144.15080176332998,74.15080176332998,73.8
6,-120.0,50,106.0937138998938,36.0937138998938,83.8
3,0.0,50,106.0937138998938,156.0937138998938,83.8
3,0.0,50,106.0937138998938,156.0937138998938,83.8
0,-120.0,50,144.15080176332998,74.15080176332998,73.8
3,0.0,50,144.15080176332998,194.15080176332998,73.8
3,0.0,50,144.15080176332998,194.15080176332998,73.8
2,-30.0,50,150.77079039907727,170.77079039907727,71.3
1,-60.0,50,80.5276022034622,70.5276022034622,66.3
4,-30.0,50,78.19047238460233,98.19047238460233,68.8
1,-60.0,50,82.43375442272432,72.43375442272432,63.8
2,-30.0,50,-31.46022272048771,-11.460222720487707,61.3
6,-120.0,50,150.77079039907727,80.77079039907727,71.3
5,-60.0,50,136.44703932875032,126.44703932875032,76.3
3,0.0,50,136.44703932875032,186.44703932875032,76.3
1,-60.0,50,150.77079039907727,140.77079039907727,71.3
2,-30.0,50,78.19047238460233,98.19047238460233,68.8
3,0.0,50,78.19047238460233,128.19047238460234,68.8
0,-120.0,50,-33.492039534799076,-103.49203953479906,58.8
1,-60.0,50,-37.556518126181935,-47.55651812618194,53.8
0,-120.0,50,-45.68548390723496,-115.68548390723495,43.8
6,-120.0,50,-37.556242808537796,-107.5562428085378,53.8
4,-30.0,50,-35.523781953799286,-15.523781953799286,56.3
0,-120.0,50,-43.65256921355425,-113.65256921355424,46.3
2,-30.0,50,-45.68456752538975,-25.684567525389753,43.8
1,-60.0,50,-49.74866605684869,-59.74866605684869,38.8
3,0.0,50,-49.74822710287694,0.25177289712306106,38.8
1,-60.0,50,-53.81201972235257,-63.812019722352574,33.8
2,-30.0,50,-55.843451105513736,-35.843451105513736,31.299999999999997
4,-30.0,50,-53.810371660361405,-33.8103716603614,33.8
5,-60.0,50,-49.74505548791724,-59.74505548791724,38.8
2,-30.0,50,-51.77579352396391,-31.775793523963912,36.3
4,-30.0,50,-49.74235985666383,-29.742359856663825,38.8
4,-30.0,50,-47.70871629513006,-27.70871629513006,41.3
3,0.0,50,-47.706788952444406,2.2932110475555945,41.3
4,-30.0,50,-45.67290002080664,-25.672900020806637,43.8
6,-120.0,50,-37.54404478356289,-107.5440447835629,53.8
0,-120.0,50,-45.66774452997634,-115.66774452997635,43.8
5,-60.0,50,-41.602476503257996,-51.602476503258,48.8
6,-120.0,50,-33.47444718286304,-103.47444718286303,58.8
