action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
4,-12.5,-10,20,-80.67204479390224,-83.17204479390224,98.8
6,-50.0,-10,20,-80.67203622168805,-120.67203622168805,100.0
1,-25.0,-10,20,-80.67203622166946,-95.67203622166946,95.0
1,-25.0,-10,20,-80.67200808601179,-95.67200808601179,90.0
5,-25.0,-10,20,-80.67195660045257,-95.67195660045257,95.0
2,-12.5,-10,20,-80.67193303807451,-83.17193303807451,92.5
5,-25.0,-10,20,-80.67190090430003,-95.67190090430003,97.5
1,-25.0,-10,20,-80.67189122492843,-95.67189122492843,92.5
3,0.0,-10,20,-80.67186499566886,-70.67186499566886,92.5
6,-50.0,-10,20,-80.67184099260928,-120.67184099260928,100.0
6,-50.0,-10,20,-80.67184099260928,-120.67184099260928,100.0
3,0.0,-10,20,-80.67184099260928,-70.67184099260928,100.0
5,-25.0,-10,20,-80.67184099260928,-95.67184099260928,100.0
0,-50.0,-10,20,-80.6718409926088,-120.6718409926088,90.0
1,-25.0,-10,20,-80.6718232699351,-95.6718232699351,85.0
5,-25.0,-10,20,-80.67179831362606,-95.67179831362606,90.0
2,-12.5,-10,20,-80.67178269053093,-83.17178269053093,87.5
2,-12.5,-10,20,-80.67176447345523,-83.17176447345523,85.0
0,-50.0,-10,20,-80.6717438179148,-120.6717438179148,75.0
0,-50.0,-10,20,-80.67171023128445,-120.67171023128446,65.0
6,-50.0,-10,20,-80.67166193155495,-120.67166193155495,75.0
4,-12.5,-10,20,-80.67162650170985,-83.17162650170985,77.5
6,-50.0,-10,20,-80.67159314219843,-120.67159314219845,87.5
3,0.0,-10,20,-80.67157288066778,-70.67157288066778,87.5
3,0.0,-10,20,-80.67155201389176,-70.67155201389176,87.5
6,-50.0,-10,20,-80.67153047865332,-120.67153047865332,97.5
2,-12.5,-10,20,-80.67151952585257,-83.17151952585257,95.0
0,-50.0,-10,20,-80.67150475168077,-120.67150475168077,85.0
2,-12.5,-10,20,-80.67147957981857,-83.17147957981857,82.5
1,-25.0,-10,20,-80.67145117099864,-95.67145117099864,77.5
6,-50.0,-10,20,-80.67141723489634,-120.67141723489635,87.5
6,-50.0,-10,20,-80.67139055774852,-120.67139055774851,97.5
0,-50.0,-10,20,-80.6713706127148,-120.67137061271478,87.5
2,-12.5,-10,20,-80.67134231684403,-83.17134231684403,85.0
0,-50.0,-10,20,-80.67131122924279,-120.6713112292428,75.0
2,-12.5,-10,20,-80.67127240496947,-83.17127240496947,72.5
3,0.0,-10,20,-80.67123022448557,-70.67123022448557,72.5
2,-12.5,-10,20,-80.67118615606938,-83.17118615606938,70.0
3,0.0,-10,20,-80.67113842972766,-70.67113842972766,70.0
4,-12.5,-10,20,-80.67108852476089,-83.17108852476089,72.5
5,-25.0,-10,20,-80.67103829015947,-95.67103829015947,77.5
1,-25.0,-10,20,-80.67098985592176,-95.67098985592176,72.5
2,-12.5,-10,20,-80.67093212743744,-83.17093212743744,70.0
4,-12.5,-10,20,-80.67086642786462,-83.17086642786462,72.5
1,-25.0,-10,20,-80.67079628784867,-95.67079628784867,67.5
0,-50.0,-10,20,-80.67071609009557,-120.67071609009557,57.5
4,-12.5,-10,20,-80.67062053273885,-83.17062053273885,60.0
0,-50.0,-10,20,-80.67051835762743,-120.67051835762743,50.0
2,-12.5,-10,20,-80.67039703158298,-83.17039703158298,47.5
1,-25.0,-10,20,-80.67026020180562,-95.67026020180562,42.5
2,-12.5,-10,20,-80.67010150896837,-83.17010150896837,40.0
2,-12.5,-10,20,-80.66991918989254,-83.16991918989254,37.5
6,-50.0,-10,20,-80.66970766247736,-120.66970766247738,47.5
3,0.0,-10,20,-80.66949116075996,-70.66949116075996,47.5
1,-25.0,-10,20,-80.66925145215593,-95.66925145215593,42.5
1,-25.0,-10,20,-80.66896926886928,-95.66896926886928,37.5
5,-25.0,-10,20,-80.66863044767275,-95.66863044767275,42.5
2,-12.5,-10,20,-80.66826357475826,-83.16826357475826,40.0
6,-50.0,-10,20,-80.66783250230598,-120.667832502306,50.0
2,-12.5,-10,20,-80.66740390501779,-83.16740390501779,47.5
0,-50.0,-10,20,-80.66691046077692,-120.66691046077693,37.5
4,-12.5,-10,20,-80.66626801108468,-83.16626801108468,40.0
5,-25.0,-10,20,-80.66552324055407,-95.66552324055407,45.0
2,-12.5,-10,20,-80.66470590423627,-83.16470590423627,42.5
2,-12.5,-10,20,-80.66372229302974,-83.16372229302974,40.0
0,-50.0,-10,20,-80.66252978125763,-120.66252978125763,30.0
4,-12.5,-10,20,-80.66090165160634,-83.16090165160634,32.5
2,-12.5,-10,20,-80.65896715533142,-83.15896715533142,30.0
1,-25.0,-10,20,-80.65651764919393,-95.65651764919393,25.0
5,-25.0,-10,20,-80.65325842868307,-95.65325842868307,30.0
2,-12.5,-10,20,-80.6494173403479,-83.1494173403479,27.5
1,-25.0,-10,20,-80.64446037447865,-95.64446037447865,22.5
0,-50.0,-10,20,-80.63773018872354,-120.63773018872354,12.5
1,-25.0,-10,20,-80.62769842682292,-95.62769842682292,7.5
1,-25.0,-10,20,-80.61306511578628,-95.61306511578628,2.5
6,-50.0,-10,20,-80.59116677850173,-120.59116677850173,12.5
1,-25.0,-10,20,-80.56352495098308,-95.56352495098308,7.5
3,0.0,-10,20,-80.52293457492269,-70.52293457492269,7.5
3,0.0,-10,20,-80.46577671406942,-70.46577671406942,7.5
5,-25.0,-10,20,-80.3852647654679,-95.3852647654679,12.5
5,-25.0,-10,-5000,-80.2793931612989,-5115.279393161299,17.5
