action,reward_inertia,reward_I_percentage,reward_weigthed,reward,stringency_index
4,-50.0,50,19.762094208228987,19.762094208228987,98.8
3,0.0,50,19.7620943505179,69.7620943505179,98.8
1,-100.0,50,13.841361329475944,-36.158638670524056,93.8
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
1,-100.0,50,15.934922973678994,-34.065077026321006,95.0
4,-50.0,50,18.968789787217034,18.968789787217034,97.5
1,-100.0,50,11.186800169139687,-38.81319983086031,92.5
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
1,-100.0,50,15.93492839410601,-34.06507160589399,95.0
0,-200.0,50,-7.734613246040503,-157.7346132460405,85.0
4,-50.0,50,-1.2304389565987606,-1.2304389565987606,87.5
3,0.0,50,-1.2304160691503796,48.76958393084962,87.5
1,-100.0,50,-13.93628715056201,-63.93628715056201,82.5
5,-100.0,50,-1.2303796371359539,-51.230379637135954,87.5
1,-100.0,50,-13.936206370091433,-63.93620637009144,82.5
3,0.0,50,-13.936173536798478,36.06382646320152,82.5
5,-100.0,50,-1.2303178083983823,-51.23031780839838,87.5
4,-50.0,50,5.256650165305473,5.256650165305473,90.0
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
0,-200.0,50,5.256667314252937,-144.74333268574708,90.0
4,-50.0,50,11.18687304425464,11.18687304425464,92.5
2,-50.0,50,5.256675088304405,5.256675088304405,90.0
4,-50.0,50,11.186879440526056,11.186879440526056,92.5
2,-50.0,50,5.25668572331152,5.25668572331152,90.0
4,-50.0,50,11.186885129509307,11.186885129509307,92.5
2,-50.0,50,5.256695197669316,5.256695197669316,90.0
5,-100.0,50,15.934965028990362,-34.06503497100964,95.0
1,-100.0,50,5.256703662369375,-44.743296337630625,90.0
1,-100.0,50,-7.734268984791171,-57.73426898479117,85.0
2,-50.0,50,-13.93590524270514,-13.93590524270514,82.5
3,0.0,50,-13.935889276180646,36.064110723819354,82.5
6,-200.0,50,11.186903139325551,-138.81309686067445,92.5
3,0.0,50,11.18690712296808,61.18690712296808,92.5
4,-50.0,50,15.934973854553192,15.934973854553192,95.0
3,0.0,50,15.934975316356102,65.9349753163561,95.0
5,-100.0,50,19.99999831473808,-30.00000168526192,100.0
1,-100.0,50,15.934978468306511,-34.06502153169349,95.0
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
5,-100.0,50,19.99999831473808,-30.00000168526192,100.0
0,-200.0,50,5.256775333612964,-144.74322466638705,90.0
0,-200.0,50,-19.800656146089054,-169.80065614608907,80.0
5,-100.0,50,-7.734070274154732,-57.73407027415473,85.0
4,-50.0,50,-1.2300515571712936,-1.2300515571712936,87.5
4,-50.0,50,5.2568196743242055,5.2568196743242055,90.0
5,-100.0,50,15.93499842212276,-34.06500157787724,95.0
3,0.0,50,15.935001789610624,65.93500178961062,95.0
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
0,-200.0,50,5.256922438408083,-144.74307756159192,90.0
0,-200.0,50,-19.79995170928393,-169.79995170928393,80.0
