action,reward_inertia,reward_I_percentage,reward_weigthed,reward,stringency_index
3,0.0,50,17.751439394571364,67.75143939457136,96.3
3,0.0,50,17.751440747304287,67.75144074730429,96.3
2,-50.0,50,13.841363665712919,13.841363665712919,93.8
3,0.0,50,13.841366865938511,63.84136686593851,93.8
3,0.0,50,13.84137175995511,63.84137175995511,93.8
3,0.0,50,13.84137629801937,63.84137629801937,93.8
3,0.0,50,13.841380512032387,63.84138051203239,93.8
3,0.0,50,13.84138443128623,63.84138443128623,93.8
3,0.0,50,13.841388082680865,63.841388082680865,93.8
4,-50.0,50,17.751451897444227,17.751451897444227,96.3
3,0.0,50,17.751453032736904,67.7514530327369,96.3
4,-50.0,50,19.76209571451372,19.76209571451372,98.8
3,0.0,50,19.762095782150098,69.7620957821501,98.8
0,-200.0,50,2.175248671421599,-147.8247513285784,88.8
4,-50.0,50,8.44935836018172,8.44935836018172,91.3
3,0.0,50,8.449365624383603,58.4493656243836,91.3
3,0.0,50,8.449371229901132,58.44937122990113,91.3
4,-50.0,50,13.8414092740568,13.8414092740568,93.8
5,-100.0,50,19.762096283884105,-30.237903716115895,98.8
5,-100.0,50,19.99999831473808,-30.00000168526192,100.0
5,-100.0,50,19.99999831473808,-30.00000168526192,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
1,-100.0,50,15.934955147154753,-34.06504485284525,95.0
3,0.0,50,15.93495545389331,65.93495545389331,95.0
4,-50.0,50,18.96879802663588,18.96879802663588,97.5
3,0.0,50,18.968798167294665,68.96879816729466,97.5
3,0.0,50,18.968798271265683,68.96879827126568,97.5
1,-100.0,50,11.186873092924557,-38.81312690707544,92.5
3,0.0,50,11.18687396393048,61.18687396393048,92.5
3,0.0,50,11.186875642640842,61.18687564264084,92.5
3,0.0,50,11.186877703070238,61.18687770307024,92.5
3,0.0,50,11.18688014869798,61.18688014869798,92.5
3,0.0,50,11.186882982730694,61.186882982730694,92.5
4,-50.0,50,15.934963253238521,15.934963253238521,95.0
3,0.0,50,15.934964861916455,65.93496486191646,95.0
3,0.0,50,15.934966591036343,65.93496659103634,95.0
3,0.0,50,15.934968500550454,65.93496850055045,95.0
3,0.0,50,15.934970591288291,65.93497059128829,95.0
2,-50.0,50,11.186907832329894,11.186907832329894,92.5
4,-50.0,50,15.934975319368675,15.934975319368675,95.0
3,0.0,50,15.934977993513755,65.93497799351375,95.0
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
2,-50.0,50,18.968805756184565,18.968805756184565,97.5
3,0.0,50,18.96880693469123,68.96880693469123,97.5
3,0.0,50,18.96880851236955,68.96880851236955,97.5
4,-50.0,50,19.99999831473808,19.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
4,-50.0,50,19.99999831473808,19.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
0,-200.0,50,5.257523720559732,-144.74247627944027,90.0
5,-100.0,50,15.935196373770978,-34.06480362622902,95.0
3,0.0,50,15.935223162452985,65.93522316245298,95.0
3,0.0,50,15.935250674100203,65.9352506741002,95.0
3,0.0,50,15.935278918882958,65.93527891888296,95.0
1,-100.0,50,5.258070585105173,-44.74192941489483,90.0
3,0.0,50,5.258189429604968,55.25818942960497,90.0
3,0.0,50,5.258311234101569,55.25831123410157,90.0
1,-100.0,50,-7.730377442107084,-57.730377442107084,85.0
3,0.0,50,-7.7300901875822845,42.269909812417716,85.0
4,-50.0,50,-1.2271028707146172,-1.2271028707146172,87.5
5,-100.0,50,11.188087599968213,-38.81191240003179,92.5
3,0.0,50,11.188164368838457,61.18816436883846,92.5
3,0.0,50,11.188242776399107,61.18824277639911,92.5
4,-50.0,50,15.935601753512586,15.935601753512586,95.0
3,0.0,50,15.935638067800454,65.93563806780045,95.0
0,-200.0,50,-7.727894609145082,-157.7278946091451,85.0
3,0.0,50,-7.727554597447359,42.27244540255264,85.0
3,0.0,50,-7.727193803780061,42.27280619621994,85.0
2,-50.0,50,-13.925768195340986,-13.925768195340986,82.5
3,0.0,50,-13.925220702658947,36.07477929734105,82.5
3,0.0,50,-13.924644987282932,36.07535501271707,82.5
3,0.0,50,-13.924041066916118,36.07595893308388,82.5
4,-50.0,50,-7.7250789582867725,-7.7250789582867725,85.0
1,-100.0,50,-19.783766627268534,-69.78376662726853,80.0
6,-200.0,50,5.261231290708821,-144.73876870929118,90.0
3,0.0,50,5.261465329847809,55.26146532984781,90.0
3,0.0,50,5.261708558933961,55.26170855893396,90.0
3,0.0,50,5.261960995660189,55.26196099566019,90.0
3,0.0,50,5.2622226397401874,55.26222263974019,90.0
3,0.0,50,5.262493490824951,55.26249349082495,90.0
4,-50.0,50,11.190307072968935,11.190307072968935,92.5
3,0.0,50,11.190469783865225,61.190469783865225,92.5
3,0.0,50,11.190634766362464,61.190634766362464,92.5
3,0.0,50,11.190802022118362,61.19080202211836,92.5
2,-50.0,50,5.263954842395123,5.263954842395123,90.0
6,-200.0,50,19.99999831473808,-130.0000016852619,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
2,-50.0,50,18.969311780460202,18.969311780460202,97.5
3,0.0,50,18.969331626846213,68.96933162684621,97.5
3,0.0,50,18.96935172588877,68.96935172588877,97.5
3,0.0,50,18.96937207743163,68.96937207743163,97.5
3,0.0,50,18.969392681477814,68.96939268147781,97.5
3,0.0,50,18.969413538014408,68.96941353801441,97.5
2,-50.0,50,15.937502526383156,15.937502526383156,95.0
3,0.0,50,15.937587972218807,65.93758797221881,95.0
4,-50.0,50,18.969477622458257,18.969477622458257,97.5
3,0.0,50,18.96949948884685,68.96949948884685,97.5
3,0.0,50,18.969520875389733,68.96952087538973,97.5
4,-50.0,50,19.99999831473808,19.99999831473808,100.0
3,0.0,50,19.99999831473808,69.99999831473808,100.0
1,-100.0,50,15.938092564245792,-34.06190743575421,95.0
3,0.0,50,15.938170434772289,65.93817043477229,95.0
3,0.0,50,15.938246386822982,65.93824638682298,95.0
3,0.0,50,15.938320420337192,65.93832042033719,95.0
3,0.0,50,15.938392535441722,65.93839253544172,95.0
2,-50.0,50,11.194760036091736,11.194760036091736,92.5
3,0.0,50,11.194913662923355,61.194913662923355,92.5
4,-50.0,50,15.938597371459139,15.938597371459139,95.0
3,0.0,50,15.938661813979337,65.93866181397934,95.0
3,0.0,50,15.938724338489152,65.93872433848915,95.0
2,-50.0,50,11.195485014966806,11.195485014966806,92.5
1,-100.0,50,-1.205979008927315,-51.205979008927315,87.5
3,0.0,50,-1.2056042859586427,48.79439571404136,87.5
3,0.0,50,-1.2052216459495781,48.79477835405042,87.5
2,-50.0,50,-7.697724922367499,-7.697724922367499,85.0
3,0.0,50,-7.697151122861953,42.30284887713805,85.0
2,-50.0,50,-13.884599535272045,-13.884599535272045,82.5
3,0.0,50,-13.883787504629119,36.11621249537088,82.5
3,0.0,50,-13.882959957601642,36.11704004239836,82.5
3,0.0,50,-13.88211689748131,36.11788310251869,82.5
6,-200.0,50,11.196933756538414,-138.8030662434616,92.5
3,0.0,50,11.197094301883908,61.19709430188391,92.5
3,0.0,50,11.197257695867236,61.197257695867236,92.5
3,0.0,50,11.197423938524906,61.197423938524906,92.5
